Checked,Ion,Charge,Molecular Weight,m/z,RT [min],FWHM [min],# MI,Area,Parent Area [%],Study File ID
FALSE,[M+H]+1,1,757.55681,758.56409,9.156,0.188,3,539865385.2,100,F3
FALSE,[M+H]+1,1,785.58751,786.59479,9.903,0.029,5,414107061.3,100,F1
FALSE,[M-H]-1,-1,819.59401,818.58673,9.888,0.11,5,360036707.9,100,F1
FALSE,[M+H]+1,1,786.58971,787.59698,9.963,0.116,5,357433618.2,100,F3
FALSE,[M+H]+1,1,729.52507,730.53235,8.411,0.26,4,348589786.3,100,F5
FALSE,[M+H]+1,1,732.54411,733.55139,9.029,0.197,3,347301071.7,100,F1
FALSE,[M+H]+1,1,788.60637,789.61365,10.852,0.101,5,343884288.1,100,F1
FALSE,[M+H]+1,1,788.60588,789.61316,10.904,0.105,5,342082332.8,100,F5
FALSE,[M+H]+1,1,786.58977,787.59705,10.008,0.105,5,341699674.7,100,F5
FALSE,[M+H]+1,1,786.58989,787.59717,9.936,0.104,5,331712880.4,100,F7
FALSE,[M+H]+1,1,788.60558,789.61285,10.825,0.103,5,327629807.2,100,F7
FALSE,[M+H]+1,1,788.60619,789.61346,10.856,0.101,5,327467120.5,100,F3
FALSE,[M-H]-1,-1,819.59431,818.58704,9.88,0.106,5,324702372.8,100,F6
FALSE,[M-H]-1,-1,819.59419,818.58691,9.866,0.104,6,322598727.4,100,F4
FALSE,[M+H]+1,1,745.59343,746.60071,10.49,0.113,6,322201833.7,100,F5
FALSE,[M+H]+1,1,745.593,746.60028,10.426,0.117,6,317752940.3,100,F7
FALSE,[M-H]-1,-1,819.59425,818.58698,9.881,0.111,6,313839909.6,100,F2
FALSE,[M+H]+1,1,745.59392,746.6012,10.454,0.111,6,313756386.2,100,F1
FALSE,[M+H]+1,1,729.52599,730.53326,8.369,0.234,4,290345646.6,100,F1
FALSE,[M+H]+1,1,745.59319,746.60046,10.455,0.113,6,288960376.3,100,F3
FALSE,[M+H]+1,1,729.52513,730.53241,8.351,0.226,3,277088560.8,100,F7
FALSE,[M+H]+1,1,729.52544,730.53271,8.378,0.235,3,276593100.1,100,F3
FALSE,[M+H]+1,1,732.54344,733.55072,8.976,0.126,3,262848961.6,100,F7
FALSE,[M+H]+1,1,783.57231,784.57959,9.295,0.285,2,253116501.1,100,F1
