Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,Rep1.raw (F1),Hap1_Neg_1.raw (F2)+Hap1_Pos_1.raw (F3),Hap1_Neg_3.raw (F4)+Hap1_Pos_3.raw (F5),Hap1_Neg_2.raw (F6),
1.414,510.27914,-,118365.103,,,3,75599.08662,118365.103,36505.82105,51333.69342,
1.415,1001.55328,-,99606.96857,,,2,99606.96857,68591.21043,36719.65987,51441.08234,
1.417,1069.61743,-,75754.78217,,,3,75754.78217,65988.81655,41650.32686,39020.79636,
1.417,600.19885,-,28823.01192,,,2,2950.554692,873.5039208,27343.68521,28823.01192,
1.417,991.57239,-,28295.74121,,,2,28295.74121,17955.00833,15871.0076,20418.21694,
1.419,684.2782,-,120664.4611,,,2,120285.7679,102469.31,90322.46108,120664.4611,
1.42,626.21454,-,178491.4526,,,2,15078.82859,5033.777795,178491.4526,110085.3971,
1.421,1053.58813,-,695935.8513,,,4,695935.8513,223392.2688,243219.8146,228957.8294,
1.422,602.34186,-,552223.0051,LysoPC 20:4,LysoPC,4,351199.5857,550722.2511,524466.9674,552223.0051,
1.422,1095.63379,-,183315.9582,,,5,183315.9582,69764.23401,64198.68924,68611.24259,
1.425,1081.58069,+,58490.26933,,,2,58490.26933,39231.03876,34962.6796,28458.71373,
1.426,1027.5719,-,318703.1105,,,5,318703.1105,107334.2896,170282.4701,185326.8339,
1.433,476.27432,-,2238503.661,LysoPE 18:2,LysoPE,7,2238503.661,1501080.847,1323263.945,1154465.579,
1.433,472.33844,+,79197.00483,AC 22:6,AC,2,75199.75605,37213.04777,79197.00483,47019.85694,
1.435,484.27844,+,75487.60993,,,2,75487.60993,31346.44504,35591.23683,39259.45187,
1.436,540.23535,+,53248.67032,,,2,53248.67032,34063.95591,41270.70207,42508.80254,
1.437,361.27026,+,161224.592,,,2,161224.592,108324.0969,102837.4702,116680.7629,
1.441,628.40314,+,144638.5901,,,3,107500.6334,144638.5901,112355.6637,142288.1166,
1.443,624.38263,+,120931.4113,,,2,120931.4113,8084.341551,91908.54675,32138.83474,
1.444,520.33594,+,4733897.812,LysoPC 18:2,LysoPC,9,4230172.515,3061059.944,4733897.812,2313536.746,
1.445,570.35077,+,4411761.353,LysoPC 22:5,LysoPC,8,3772455.704,4013705.589,4411761.353,2131430.348,
1.445,325.27054,+,239447.3552,,,3,239447.3552,172183.4748,168422.9698,111958.4631,
1.447,522.31543,+,404404.5088,,,4,226040.395,312155.6182,404404.5088,197319.9964,
1.451,491.35657,+,404239.3803,,,4,376383.1674,404239.3803,342137.1588,307099.7347,
1.452,661.50769,+,189048.7476,,,4,189048.7476,147156.7088,180478.4318,105992.5096,
1.452,284.2345,+,128436.0837,,,3,119006.6447,128436.0837,53349.48375,104244.6364,
1.453,563.26044,+,139384.9838,,,2,122185.9726,77474.14802,139384.9838,101008.7239,
1.455,466.28873,+,1380171.299,LysoPE 17:1,LysoPE,11,1380171.299,735718.2948,642665.234,548001.8951,
1.458,448.33832,+,1051563.74,AC 20:4,AC,4,898506.2304,970599.3877,1051563.74,685225.2422,
1.46,271.22568,-,241325.7037,,,2,241325.7037,210509.6309,160443.8933,72719.61959,
1.464,554.28345,+,1863646.549,,,7,1863646.549,1264255.394,1495684.423,997284.9163,
1.471,508.33627,+,5345219.799,LysoPC 17:1,LysoPC,11,5345219.799,3167130.25,3149911.115,2925366.507,
1.477,596.3302,+,501750.0539,,,4,493651.431,501750.0539,378845.2365,420648.4397,
1.481,466.32581,+,609346.9983,,,4,609346.9983,540033.6044,500619.1208,490250.3036,
1.485,339.19681,-,155932.7696,,,3,155932.7696,76601.26788,119042.3007,110309.5014,
1.487,610.31061,-,213265.6287,,,4,199080.7736,213265.6287,116314.9221,136980.4698,
1.498,649.33099,-,167624.7308,,,4,167624.7308,162471.2239,165911.7066,158169.7924,
1.513,560.29486,-,751681.711,,,4,751681.711,565173.292,487274.1307,428639.3871,
1.515,530.28333,+,4845968.72,,,7,4845968.72,3656080.509,3511920.66,3601563.282,
1.52,502.29037,-,2.900574264E7,LysoPE 20:3,LysoPE,6,2.900574264E7,1.41100115E7,1.365778829E7,1.252920935E7,
1.523,424.33865,+,982034.1131,AC 18:2,AC,2,982034.1131,884481.5867,160428.288,80425.21012,
1.531,604.35779,-,1454390.75,LysoPC 20:3,LysoPC,2,1454390.75,249583.0438,1361627.593,178143.7689,
1.533,572.33105,+,1787871.366,,,4,1787871.366,1635212.319,1401183.586,1550237.079,
1.545,452.27475,-,2.837629295E7,LysoPE 16:0,LysoPE,7,2.837629295E7,1.59794334E7,1.315641373E7,1.15750876E7,
1.549,313.27115,+,7262762.056,,,4,7262762.056,6010959.096,5822001.484,5695037.144,
1.553,981.58704,+,1721036.884,,,5,1721036.884,844503.8165,780077.0774,518508.0668,
1.556,536.2951,-,2715185.369,,,4,2715185.369,2161360.299,1823392.543,1326662.543,
1.56,554.38855,+,627377.3356,,,2,627377.3356,322485.6412,573644.2883,231083.4595,
1.563,496.33618,+,1.482363032E8,LysoPC 16:0,LysoPC,8,1.482363032E8,9.344184821E7,7.595639464E7,1.038259984E8,
1.563,408.31998,+,539225.9741,,,4,520513.27,539225.9741,435682.6541,508121.4343,
1.572,1023.6333,+,2038267.516,,,6,2038267.516,800904.2117,649431.5596,712209.6138,
1.585,526.28979,-,5.714642636E7,LysoPE 22:5,LysoPE,10,5.714642636E7,2.628160492E7,2.632292063E7,2.473698424E7,
1.592,387.28622,+,3104512.911,,,4,3104512.911,2612310.516,2679594.848,2892555.335,
1.596,1055.60205,+,1413069.691,,,6,1413069.691,520267.5271,641389.2585,447950.946,
1.598,684.27856,-,120754.8729,,,3,47554.94027,102997.6275,93140.2571,120754.8729,
1.599,566.25153,+,529594.6264,,,4,468513.7893,369008.1198,529594.6264,388112.4368,
1.601,669.29138,-,122793.0491,,,2,122793.0491,75506.76217,65247.62892,68801.51425,
1.601,1075.56934,-,106541.7216,,,3,97255.23988,106541.7216,57492.55671,55160.72665,
1.611,570.35132,+,1.184851268E7,LysoPC 22:5,LysoPC,2,1.184851268E7,1868047.726,2183675.082,8738680.655,
1.611,1000.5766,-,82722.30017,,,2,67407.5786,24565.86167,82722.30017,50517.1209,
1.615,1081.61755,+,365037.4525,,,7,365037.4525,168391.6923,160733.3483,164949.2576,
1.615,628.40338,+,282263.1338,,,2,178612.8618,60781.06229,73764.65015,282263.1338,
1.623,473.2789,-,6619744.519,,,7,6619744.519,5288142.946,4770600.41,4538277.26,
1.624,653.34106,-,92431.76181,,,4,58529.77465,92431.76181,43170.23222,52683.97202,
1.632,533.34558,+,1542045.341,,,4,1392137.861,1542045.341,1246214.441,1257670.738,
1.635,419.23083,+,82122.9712,,,2,82122.9712,54496.39776,67517.9165,60297.94002,
1.639,490.2901,-,373720.7093,,,2,373720.7093,282196.5102,228871.2905,201153.127,
1.644,613.43469,+,382418.8301,,,3,231106.9845,305706.102,241673.9415,382418.8301,
1.645,599.3158,-,1707482.879,LysoPI 18:0,LysoPI,7,1624295.223,1707482.879,1349752.612,1351790.193,
1.65,598.34534,+,173207.9045,,,3,153030.4271,92180.89827,82442.15987,173207.9045,
1.667,552.30585,-,1.834758175E7,,,10,1.834758175E7,8888716.571,8643926.29,8631412.78,
1.671,413.30182,+,909817.1205,,,4,909817.1205,688959.0137,693873.6077,737281.9109,
1.682,542.25073,+,403288.6031,,,3,369350.019,342454.3826,403288.6031,231591.3454,
1.684,596.36682,+,3499963.881,,,4,3499963.881,2101437.025,2796493.416,2900083.365,
1.686,602.21515,-,359939.7036,,,2,43503.19967,9537.243007,359939.7036,267693.492,
1.697,604.3576,-,2461200.31,LysoPC 20:3,LysoPC,4,1591934.041,1134325.407,2461200.31,2452018.997,
