MS2 ID,Retention Time (min),Rank,Identification,Precursor Mass,Library Mass,Delta m/z,Dot Product,Reverse Dot Product,Purity,Spectral Components,Optimal Polarity,LipiDex Spectrum,Library,Potential Fragments
47,0.529,1,LysoPG 22:6 [M-H]-;,555.269,555.2723,-5.943,915,1000,100,LysoPG 22:6 [M-H]-(100),true,true,Coon_Lab_HCD_Acetate_20171009.msp,152.9958 | 327.233 | 
67,0.551,1,LysoPI 20:4 [M-H]-;,619.284,619.2883,-6.9435,779,944,100,LysoPI 20:4 [M-H]-(100),true,true,Coon_Lab_HCD_Acetate_20171009.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 241.0119 | 303.233 | 315.0487 | 333.0619 | 
207,0.767,1,LysoPI 20:5 [M-H]-;,617.27,617.2727,-4.3741,56,856,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 241.0119 | 301.2173 | 315.0487 | 333.0619 | 
215,0.786,1,LysoPE 12:0 [M-H]-;,396.213,396.2151,-5.3002,986,1000,100,LysoPE 12:0 [M-H]-(100),true,true,Coon_Lab_HCD_Acetate_20171009.msp,78.9591 | 140.0118 | 196.038 | 199.1704 | 214.0486 | 
222,0.806,1,LysoPI 16:1 [M-H]-;,569.269,569.2727,-6.4995,637,992,100,LysoPI 16:1 [M-H]-(100),true,true,Coon_Lab_HCD_Acetate_20171009.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 241.0119 | 253.2173 | 315.0487 | 333.0619 | 
235,0.83,1,LysoPC 14:1 [M+Ac-H]-;,524.295,524.2988,-7.2478,690,1000,100,LysoPC 14:1 [M+Ac-H]-(100),true,true,Coon_Lab_HCD_Acetate_20171009.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 225.186 | 241.0721 | 450.2626 | 
240,0.841,1,LysoPI 22:6 [M-H]-;,643.285,643.2883,-5.1299,115,1000,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 241.0119 | 315.0487 | 327.233 | 333.0619 | 
253,0.861,1,LysoPE 14:1 [M-H]-;,422.228,422.2308,-6.6314,989,1000,100,LysoPE 14:1 [M-H]-(100),true,true,Coon_Lab_HCD_Acetate_20171009.msp,78.9591 | 140.0118 | 196.038 | 214.0486 | 225.186 | 
267,0.875,1,LysoPI 18:2 [M-H]-;,595.283,595.2883,-8.9032,428,881,100,LysoPI 18:2 [M-H]-(100),true,true,Coon_Lab_HCD_Acetate_20171009.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 241.0119 | 279.233 | 315.0487 | 333.0619 | 
276,0.885,1,LysoPG 22:6 [M-H]-;,555.27,555.2723,-4.1421,887,1000,100,LysoPG 22:6 [M-H]-(100),true,true,Coon_Lab_HCD_Acetate_20171009.msp,152.9958 | 327.233 | 
