MS2 ID,Retention Time (min),Rank,Identification,Precursor Mass,Library Mass,Delta m/z,Dot Product,Reverse Dot Product,Purity,Spectral Components,Optimal Polarity,LipiDex Spectrum,Library,Potential Fragments
11,0.037,1,Cer[NS] d18:1_16:0 [M+H-H2O]+;,520.505,520.5094,-8.4533,74,1000,0,,false,true,Coon_Lab_HCD_Acetate_20171009.msp,252.2686 | 264.2686 | 282.2791 | 
87,0.214,1,Cer[NS] d18:1_16:0 [M+H-H2O]+;,520.506,520.5094,-6.5321,114,1000,0,,false,true,Coon_Lab_HCD_Acetate_20171009.msp,252.2686 | 264.2686 | 282.2791 | 
346,0.817,1,LysoPE 20:5 [M+H]+;,500.274,500.2777,-7.3959,953,1000,0,,false,true,Coon_Lab_HCD_Acetate_20171009.msp,359.2581 | 482.2666 | 
356,0.839,1,AC 12:0 [M+H]+;,344.277,344.2801,-9.0043,818,863,100,AC 12:0 [M+H]+(100),true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 85.0284 | 144.1019 | 183.1743 | 285.206 | 
371,0.87,1,LysoPC 14:1 [M+H]+;,466.289,466.2934,-9.4361,728,743,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
406,0.941,1,AC 14:1 [M+H]+;,370.292,370.2957,-9.992,946,954,100,AC 14:1 [M+H]+(100),true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 85.0284 | 144.1019 | 209.19 | 311.2217 | 
423,0.975,1,LysoPC 15:1 [M+H]+;,480.304,480.309,-10.41,722,736,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
436,0.995,1,LysoPC 20:5 [M+H]+;,542.319,542.3247,-10.5103,729,732,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
438,0.999,1,LysoPC 14:0 [M+H]+;,468.304,468.309,-10.6767,722,737,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
439,1.001,1,LysoPE 20:5 [M+H]+;,500.273,500.2777,-9.3948,977,1000,0,,false,true,Coon_Lab_HCD_Acetate_20171009.msp,359.2581 | 482.2666 | 
448,1.02,1,LysoPE 14:0 [M+H]+;,426.257,426.2621,-11.9645,294,1000,0,,false,true,Coon_Lab_HCD_Acetate_20171009.msp,285.2424 | 408.251 | 
451,1.029,1,LysoSM d18:2 [M+H]+;,463.325,463.3301,-11.0073,10,1000,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 124.9998 | 184.0733 | 262.2532 | 
462,1.053,1,LysoPC 18:3 [M+H]+;,518.32,518.3247,-9.0677,730,733,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
466,1.061,1,LysoPE 18:3 [M+H]+;,476.273,476.2777,-9.8682,978,1000,0,,false,true,Coon_Lab_HCD_Acetate_20171009.msp,335.2581 | 458.2666 | 
