Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,Filter Status,Rep1.raw (F1),Hap1_Neg_1.raw (F2),Hap1_Pos_1.raw (F3),Hap1_Neg_3.raw (F4),Hap1_Pos_3.raw (F5),Hap1_Neg_2.raw (F6),Hap1_Pos_2.raw (F7),
1.414,510.27914,-,118365.103,,,3,,75599.08662,118365.103,0.0,36505.82105,0.0,51333.69342,0.0,
1.415,1001.55328,-,99606.96857,,,2,,99606.96857,68591.21043,0.0,36719.65987,0.0,51441.08234,0.0,
1.417,1069.61743,-,75754.78217,,,3,,75754.78217,65988.81655,0.0,41650.32686,0.0,39020.79636,0.0,
1.417,600.19885,-,28823.01192,,,2,,2950.554692,873.5039208,0.0,27343.68521,0.0,28823.01192,0.0,
1.417,991.57239,-,28295.74121,,,2,,28295.74121,17955.00833,0.0,15871.0076,0.0,20418.21694,0.0,
1.418,1049.5531,-,36314.69358,,,2,Adduct of existing peak,36314.69358,28729.2385,0.0,15450.36759,0.0,20057.23448,0.0,
1.419,684.2782,-,120664.4611,,,2,,120285.7679,102469.31,0.0,90322.46108,0.0,120664.4611,0.0,
1.42,626.21454,-,178491.4526,,,2,,15078.82859,5033.777795,0.0,178491.4526,0.0,110085.3971,0.0,
1.42,1075.56934,-,97833.30566,,,4,Adduct of existing peak,97833.30566,62845.64063,53823.91897,24993.9751,35438.58846,38751.06792,39255.11308,
1.421,1053.58813,-,695935.8513,,,4,,695935.8513,223392.2688,170388.2503,198634.6831,243219.8146,200770.4265,228957.8294,
1.422,602.34186,-,552223.0051,LysoPC 20:4,LysoPC,4,,351199.5857,550722.2511,0.0,524466.9674,0.0,552223.0051,0.0,
1.422,1095.63379,-,183315.9582,,,5,,183315.9582,69764.23401,29434.17437,64198.68924,36292.18798,68611.24259,31353.7375,
1.425,1081.58069,+,58490.26933,,,2,,58490.26933,24658.96614,39231.03876,12956.2222,34962.6796,8848.731024,28458.71373,
1.425,1045.61865,-,31498.7137,,,3,Adduct of existing peak,30638.1457,22289.65348,0.0,22763.57463,0.0,31498.7137,0.0,
1.426,1027.5719,-,318703.1105,,,5,,318703.1105,107334.2896,95824.14956,95400.86955,170282.4701,119620.3988,185326.8339,
1.428,554.32043,-,145616.9475,,,3,In-source fragment,145616.9475,103275.8265,0.0,112147.1,0.0,104127.0511,0.0,
1.433,476.27432,-,2238503.661,LysoPE 18:2,LysoPE,7,,2238503.661,1501080.847,1076408.026,1323263.945,1169675.826,1154465.579,927373.5436,
1.433,472.33844,+,79197.00483,AC 22:6,AC,2,,75199.75605,0.0,37213.04777,0.0,79197.00483,0.0,47019.85694,
1.434,582.29083,+,107465.6964,,,2,Adduct of existing peak,107465.6964,0.0,53012.66481,0.0,98002.47667,0.0,71861.14178,
1.435,578.34198,-,1131035.429,LysoPC 18:2,LysoPC,5,Redundant Identification,1131035.429,728890.3787,6039.909368,788133.5288,19481.90132,601368.2874,6391.91259,
1.435,484.27844,+,75487.60993,,,2,,75487.60993,0.0,31346.44504,0.0,35591.23683,0.0,39259.45187,
1.436,540.23535,+,53248.67032,,,2,,53248.67032,0.0,34063.95591,0.0,41270.70207,0.0,42508.80254,
1.437,361.27026,+,161224.592,,,2,,161224.592,0.0,108324.0969,0.0,102837.4702,0.0,116680.7629,
1.439,566.34192,-,738567.2334,LysoPC 17:1,LysoPC,5,Redundant Identification,738567.2334,305311.0257,0.0,602509.4757,0.0,654806.5591,0.0,
1.441,628.40314,+,144638.5901,,,3,,107500.6334,0.0,144638.5901,0.0,112355.6637,0.0,142288.1166,
1.442,592.33252,+,340574.8041,,,3,Adduct of existing peak,293896.6908,0.0,234067.8722,0.0,340574.8041,0.0,219603.4745,
1.442,608.30664,+,247572.1813,,,3,Adduct of existing peak,160459.3941,0.0,160161.859,0.0,247572.1813,0.0,145959.9194,
1.443,628.3573,-,1184296.864,LysoPC 22:5,LysoPC,4,Redundant Identification,1033223.093,1184296.864,196687.4974,12788.40322,128964.3504,19567.29894,142569.3925,
1.443,624.38263,+,120931.4113,,,2,,120931.4113,0.0,8084.341551,0.0,91908.54675,0.0,32138.83474,
1.444,520.33594,+,4733897.812,LysoPC 18:2,LysoPC,9,,4230172.515,0.0,3061059.944,0.0,4733897.812,0.0,2313536.746,
1.444,1005.58691,+,124808.7096,,,4,Adduct of existing peak,124808.7096,41299.5188,82302.54081,27731.36194,62129.42825,35241.96575,98362.11623,
1.445,570.35077,+,4411761.353,LysoPC 22:5,LysoPC,8,,3772455.704,0.0,4013705.589,0.0,4411761.353,0.0,2131430.348,
1.445,325.27054,+,239447.3552,,,3,,239447.3552,0.0,172183.4748,0.0,168422.9698,0.0,111958.4631,
1.447,522.31543,+,404404.5088,,,4,,226040.395,0.0,312155.6182,0.0,404404.5088,0.0,197319.9964,
1.449,558.29138,+,142825.805,,,4,Adduct of existing peak,104517.1884,0.0,84366.09908,0.0,142825.805,0.0,49777.2109,
1.451,491.35657,+,404239.3803,,,4,,376383.1674,0.0,404239.3803,0.0,342137.1588,0.0,307099.7347,
1.452,661.50769,+,189048.7476,,,4,,189048.7476,0.0,147156.7088,0.0,180478.4318,0.0,105992.5096,
