Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,Liver_PS.raw (F1),JAS_Blank_Neg.raw (F2),JAS_Blank_Pos.raw (F3),Liver_Neg_1.raw (F4),Liver_Neg_2.raw (F5),Liver_Neg_3.raw (F6),
0.512,343.99445,-,369394.1173,,,2,260203.0464,62.53809236,0.0,369394.1173,197779.118,283396.0171,
0.532,373.25842,-,165421.6663,,,3,104846.6374,107.3892015,0.0,160710.6288,155424.8832,165421.6663,
0.541,514.28259,-,3431084.372,,,6,2560859.881,255.0079641,1873.585722,3244897.259,3431084.372,3148266.285,
0.541,439.14246,+,110554.4552,,,2,110554.4552,0.0,199.7024773,48306.21726,43713.99965,38654.40754,
0.546,527.15692,+,863086.6773,,,4,863086.6773,0.0,510.4779829,535565.0273,561952.2134,575777.4892,
0.547,462.26736,+,647977.5906,,,3,466770.506,0.0,411.1817008,579335.3346,647977.5906,623424.5619,
0.551,447.13327,-,643055.8633,,,9,643055.8633,86354.1563,31127.03373,483921.8698,478494.2771,426429.7269,
0.553,619.28772,-,293564.9703,,,3,254512.091,353.0789878,0.0,293564.9703,288664.7328,271059.063,
0.554,411.12613,-,130439.8531,,,2,105834.6519,562.9682298,0.0,130439.8531,114986.1606,117122.8406,
0.555,251.09482,-,96160.60667,,,2,52873.73523,14288.28941,0.0,91649.25559,81654.26717,96160.60667,
0.556,421.22516,-,128459.3047,,,5,60441.26082,13018.87364,0.0,75917.19628,128459.3047,75275.09766,
0.557,265.14706,-,780516.1785,,,5,542965.6173,50945.5315,0.0,714106.5619,779138.5555,780516.1785,
0.557,689.21057,+,226682.6585,,,4,226682.6585,0.0,673.7189399,135223.9401,157786.0943,168015.66,
0.557,419.2345,+,81045.13595,,,2,48842.64802,0.0,2773.153972,48176.45272,81045.13595,69234.92983,
0.557,556.44263,+,14072.27762,,,2,9647.363797,0.0,3380.356915,9723.276233,14072.27762,12654.68516,
0.559,297.15186,-,2564133.818,,,5,1715433.902,101843.8792,0.0,2428181.538,2564133.818,2422844.294,
0.559,412.20847,+,118257.0885,,,2,118257.0885,0.0,2942.340663,19459.27248,29255.80914,33066.17515,
0.561,311.1676,-,5943073.334,,,5,4160357.24,295710.2481,0.0,5434445.03,5943073.334,5507218.117,
0.562,377.08484,-,8469516.534,,,4,5930631.001,1557.306597,0.0,8469516.534,8232592.586,7159751.175,
