MS2 ID,Retention Time (min),Rank,Identification,Precursor Mass,Library Mass,Delta m/z,Dot Product,Reverse Dot Product,Purity,Spectral Components,Optimal Polarity,LipiDex Spectrum,Library,Potential Fragments
198,0.783,1,LysoPS 20:5 [M-H]-;,542.252,542.2519,0.1844,991,992,0,,true,true,LipiDex_HCD_Acetate.msp,78.9591 | 152.9958 | 171.0064 | 455.2204 | 
213,0.839,1,LysoPI 20:4 [M-H]-;,619.288,619.2883,-0.4844,916,917,100,LysoPI 20:4 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 241.0119 | 303.233 | 315.0487 | 333.0619 | 
214,0.842,1,LysoPS 22:6 [M-H]-;,568.268,568.2675,0.8799,944,944,0,,true,true,LipiDex_HCD_Acetate.msp,78.9591 | 152.9958 | 171.0064 | 481.2361 | 
218,0.86,1,LysoPS 20:4 [M-H]-;,544.267,544.2675,-0.9187,981,981,0,,true,true,LipiDex_HCD_Acetate.msp,78.9591 | 152.9958 | 171.0064 | 457.2361 | 
221,0.871,1,LysoPI 18:2 [M-H]-;,595.288,595.2883,-0.504,822,855,100,LysoPI 18:2 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 241.0119 | 279.233 | 315.0487 | 333.0619 | 
243,0.952,1,LysoPG 22:6 [M-H]-;,555.271,555.2723,-2.3412,800,994,100,LysoPG 22:6 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,152.9958 | 327.233 | 
247,0.967,1,LysoPI 20:3 [M-H]-;,621.304,621.304,0.0,839,875,100,LysoPI 20:3 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 241.0119 | 305.2486 | 315.0487 | 333.0619 | 
251,0.981,1,LysoPI 20:4 [M-H]-;,619.288,619.2883,-0.4844,778,826,100,LysoPI 20:4 [M-H]-(100),true,true,LipiDex_HCD_ULCFA.msp,78.9596 | 152.9954 | 171.0065 | 223.0018 | 241.0119 | 303.233 | 315.0487 | 333.0597 | 
252,0.984,1,LysoPE 20:5 [M-H]-;,498.262,498.2621,-0.2007,982,983,100,LysoPE 20:5 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 140.0118 | 196.038 | 214.0486 | 257.2275 | 301.2173 | 
254,0.991,1,LysoPC 20:5 [M+Ac-H]-;,600.33,600.3301,-0.1666,962,985,100,LysoPC 20:5 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 301.2173 | 526.2939 | 
256,0.999,1,LysoPS 20:4 [M-H]-;,544.267,544.2675,-0.9187,982,983,0,,true,true,LipiDex_HCD_Acetate.msp,78.9591 | 152.9958 | 171.0064 | 457.2361 | 
262,1.023,1,LysoPI 16:0 [M-H]-;,571.289,571.2883,1.2253,881,959,100,LysoPI 16:0 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 241.0119 | 255.233 | 315.0487 | 333.0619 | 
