MS2 ID,Retention Time (min),Rank,Identification,Precursor Mass,Library Mass,Delta m/z,Dot Product,Reverse Dot Product,Purity,Spectral Components,Optimal Polarity,LipiDex Spectrum,Library,Potential Fragments
40,0.171,1,PC 12:0_22:2 [M+H]+;,758.57,758.57,0.0,869,1000,0,,false,true,LipiDex_HCD_Acetate.msp,86.0964 | 184.0733 | 
134,0.556,1,LysoPC 18:2 [M+H]+;,520.333,520.3403,-14.0293,74,780,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
171,0.694,1,LysoPC 18:2 [M+H]+;,520.334,520.3403,-12.1075,16,958,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
180,0.727,1,PC 10:0_16:1 [M+H]+;,648.456,648.4604,-6.7853,16,1000,0,,false,true,LipiDex_HCD_Acetate.msp,86.0964 | 184.0733 | 
243,0.969,1,LysoPC 20:5 [M+H]+;,542.324,542.3247,-1.2907,730,733,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
249,0.991,1,LysoPE 20:5 [M+H]+;,500.276,500.2777,-3.3981,901,1000,0,,false,true,LipiDex_HCD_Acetate.msp,359.2581 | 482.2666 | 
255,1.014,1,LysoPC 18:3 [M+H]+;,518.324,518.3247,-1.3505,743,746,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
274,1.088,1,LysoPC 16:1 [M+H]+;,494.324,494.3247,-1.4161,728,731,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
277,1.101,1,LysoPC 14:0 [M+H]+;,468.308,468.309,-2.1353,956,993,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
279,1.108,1,LysoPC 20:0 [M+H]+;,552.411,552.4029,14.6632,1,1000,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
281,1.117,1,LysoPC 20:5 [M+H]+;,542.324,542.3247,-1.2907,910,928,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
283,1.124,1,LysoPC 22:6 [M+H]+;,568.34,568.3403,-0.5279,730,732,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
288,1.142,1,LysoPE 22:6 [M+H]+;,526.293,526.2934,-0.76,981,1000,0,,false,true,LipiDex_HCD_Acetate.msp,385.2737 | 508.2823 | 
292,1.157,1,LysoPC 18:3 [M+H]+;,518.324,518.3247,-1.3505,957,963,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
299,1.183,1,LysoPE 20:4 [M+H]+;,502.292,502.2934,-2.7872,973,1000,0,,false,true,LipiDex_HCD_Acetate.msp,361.2737 | 484.2823 | 
303,1.198,1,LysoPC 18:2 [M+H]+;,520.339,520.3403,-2.4984,729,732,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
310,1.222,1,LysoPE 18:2 [M+H]+;,478.292,478.2934,-2.9271,980,1000,0,,false,true,LipiDex_HCD_Acetate.msp,337.2737 | 460.2823 | 
311,1.227,1,LysoPC 16:1 [M+H]+;,494.323,494.3247,-3.439,977,989,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
321,1.263,1,LysoPC 20:4 [M+H]+;,544.338,544.3403,-4.2253,742,745,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
322,1.264,1,LysoPC 22:6 [M+H]+;,568.338,568.3403,-4.0469,835,839,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
326,1.279,1,LysoPE 22:6 [M+H]+;,526.292,526.2934,-2.6601,966,1000,0,,false,true,LipiDex_HCD_Acetate.msp,385.2737 | 508.2823 | 
330,1.292,1,LysoPC 15:0 [M+H]+;,482.324,482.3247,-1.4513,969,988,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
336,1.315,1,LysoPE 20:4 [M+H]+;,502.292,502.2934,-2.7872,940,995,0,,false,true,LipiDex_HCD_Acetate.msp,361.2737 | 484.2823 | 
