Checked,Ion,Charge,Molecular Weight,m/z,RT [min],FWHM [min],# MI,Area,Parent Area [%],Study File ID
FALSE,[M+H]+1,1,871.76238,872.76965,16.64,0.141,4,557543692.1,100,F7
FALSE,[M+H]+1,1,871.76195,872.76923,16.528,0.128,5,527794782.8,100,F9
FALSE,[M+H]+1,1,871.76183,872.7691,16.545,0.124,4,523725994,100,F8
FALSE,[M+H]+1,1,785.59282,786.6001,9.921,0.106,6,344832114,95.768,F7
FALSE,[M+H]+1,1,785.59264,786.59991,9.805,0.094,5,338633997.2,95.583,F1
FALSE,[M+H]+1,1,785.59264,786.59991,9.8,0.093,6,328943237.7,96.274,F9
FALSE,[M+H]+1,1,875.79357,876.80084,17.933,0.111,5,327818095.9,100,F1
FALSE,[M+H]+1,1,875.7935,876.80078,18.028,0.125,5,319318075,100,F7
FALSE,[M+H]+1,1,874.78032,875.7876,17.26,0.115,3,312859773.6,100,F1
FALSE,[M+H]+1,1,874.77995,875.78723,17.352,0.137,3,307447084.7,100,F7
FALSE,[M+H]+1,1,875.7932,876.80048,17.91,0.119,5,306831890.1,100,F9
FALSE,[M+H]+1,1,874.77983,875.78711,17.252,0.121,4,302664897.8,100,F8
FALSE,[M+H]+1,1,805.56133,806.5686,8.614,0.087,6,300889846.6,95.877,F7
FALSE,[M+H]+1,1,874.77971,875.78699,17.238,0.12,4,295277216.3,100,F9
FALSE,[M+H]+1,1,785.59227,786.59955,9.812,0.091,5,290554618.6,95.383,F8
FALSE,[M+H]+1,1,757.5609,758.56818,8.91,0.086,1,285989934.4,94.752,F1
FALSE,[M+H]+1,1,805.56102,806.5683,8.481,0.079,6,284683687.1,95.416,F1
FALSE,[M+H]+1,1,757.5612,758.56848,9.042,0.096,1,283921803.9,95.306,F7
FALSE,[M+H]+1,1,805.5612,806.56848,8.476,0.078,6,275465387.4,96.509,F9
FALSE,[M+H]+1,1,805.5612,806.56848,8.503,0.08,6,268496687.8,96.353,F8
FALSE,[M+H]+1,1,875.79326,876.80054,17.935,0.086,5,266954808.6,100,F8
FALSE,[M+H]+1,1,757.56096,758.56824,8.917,0.09,1,266311587.3,95.356,F8
FALSE,[M+H]+1,1,757.56108,758.56836,8.905,0.089,1,259840273.9,95.824,F9
FALSE,[M+H]+1,1,872.76476,873.77203,16.547,0.128,4,254632945.2,100,F1
FALSE,[M+H]+1,1,781.56145,782.56873,8.869,0.094,6,252502277,100,F7
FALSE,[M+H]+1,1,781.5612,782.56848,8.739,0.087,6,249211417.1,96.424,F9
FALSE,[M+H]+1,1,781.56096,782.56824,8.735,0.083,5,243365883.6,100,F1
FALSE,[M+H]+1,1,781.56114,782.56842,8.758,0.087,5,241911249.7,99.878,F8
FALSE,[M+H]+1,1,899.79241,900.79968,17.237,0.176,4,225054869.9,100,F1
FALSE,[M+H]+1,1,897.77672,898.784,16.627,0.144,4,216468671.2,100,F7
FALSE,[M+H]+1,1,897.77666,898.78394,16.534,0.136,5,213862926.2,100,F1
FALSE,[M+H]+1,1,899.79216,900.79944,17.34,0.175,3,208113553.9,100,F7
FALSE,[M+H]+1,1,759.57726,760.58453,9.765,0.105,6,198682088.3,100,F7
FALSE,[M+H]+1,1,899.79167,900.79895,17.239,0.15,3,197936339.4,100,F8
FALSE,[M+H]+1,1,919.76152,920.7688,15.873,0.101,4,196462115,100,F1
FALSE,[M+H]+1,1,919.76171,920.76898,15.967,0.122,4,194703668.3,100,F7
FALSE,[M+H]+1,1,809.59239,810.59967,9.727,0.101,6,193081880.1,95.572,F7
FALSE,[M+H]+1,1,759.57707,760.58435,9.628,0.095,6,192592696.6,95.15,F1
FALSE,[M+Na]+1,1,875.7941,898.78333,16.534,0.132,3,192307241.4,98.755,F8
FALSE,[M+H]+1,1,759.57665,760.58392,9.648,0.098,6,190569408.1,95.637,F8
FALSE,[M+H]+1,1,809.59276,810.60004,9.598,0.084,5,188243790.5,95.245,F1
FALSE,[M+H]+1,1,897.77629,898.78357,16.518,0.133,3,186370459.4,100,F9
FALSE,[M+H]+1,1,919.76097,920.76825,15.877,0.104,4,184411592.4,100,F8
FALSE,[M+H]+1,1,759.57683,760.58411,9.626,0.096,6,184249956.3,96.02,F9
FALSE,[M+H]+1,1,758.56304,759.57031,8.91,0.087,5,177732031.5,100,F1
FALSE,[M+H]+1,1,919.76164,920.76892,15.857,0.109,3,176654576.5,100,F9
FALSE,[M+H]+1,1,758.5634,759.57068,9.042,0.096,5,174033320.3,100,F7
FALSE,[M+H]+1,1,899.79161,900.79889,17.224,0.148,2,164870611.6,100,F9
FALSE,[M+H]+1,1,809.59215,810.59943,9.617,0.088,5,164038445.7,95.106,F8
FALSE,[M+H]+1,1,758.56297,759.57025,8.916,0.09,5,163696799.1,100,F8
FALSE,[M+H]+1,1,758.56297,759.57025,8.904,0.092,5,163149868.1,100,F9
FALSE,[M+H]+1,1,809.59239,810.59967,9.597,0.084,3,160163089.1,95.533,F9
FALSE,[M+H]+1,1,833.59282,834.6001,9.434,0.087,6,143052072.5,92.684,F7
FALSE,[M+H]+1,1,833.59282,834.6001,9.316,0.079,6,135855641,92.412,F1
FALSE,[M+H]+1,1,901.80803,902.81531,18.066,0.175,5,134846128.3,100,F7
FALSE,[M+H]+1,1,833.59252,834.59979,9.309,0.077,6,132655013,93.482,F9
FALSE,[M+H]+1,1,901.80779,902.81506,17.953,0.157,5,130371894.5,100,F9
FALSE,[M+H]+1,1,833.5927,834.59998,9.33,0.076,6,130293594.7,94.084,F8
FALSE,[M+H]+1,1,895.76146,896.76874,15.819,0.162,5,127225005.5,100,F1
FALSE,[M+H]+1,1,901.8076,902.81488,17.957,0.185,3,126755222.2,100,F8
FALSE,[M+H]+1,1,895.76177,896.76904,15.913,0.174,3,124758144.6,100,F7
FALSE,[M+H]+1,1,895.76152,896.7688,15.802,0.162,3,120129501,100,F9
FALSE,[M+H]+1,1,783.57707,784.58435,9.244,0.097,6,115388964.2,96.489,F7
FALSE,[M+H]+1,1,869.74645,870.75372,15.965,0.161,2,111052484.9,100,F7
FALSE,[M+H]+1,1,847.76232,848.76959,17.35,0.176,4,109168224.6,100,F7
FALSE,[M+H]+1,1,895.7614,896.76868,15.82,0.166,2,108296100.8,100,F8
FALSE,[M-H]-1,-1,817.58235,816.57507,8.939,0.087,6,105908827.4,100,F4
FALSE,[M+H]+1,1,921.77696,922.78424,16.599,0.101,3,101522887.6,100,F9
