row ID,row m/z,row retention time,row comment,row number of detected peaks,Hap1_Blank.raw Peak status,Hap1_Blank.raw Peak m/z,Hap1_Blank.raw Peak RT,Hap1_Blank.raw Peak height,Hap1_Blank.raw Peak area,Hap1_Blank.raw Peak charge,Hap1_Blank.raw Peak FWHM,Hap1_Neg_3.raw Peak status,Hap1_Neg_3.raw Peak m/z,Hap1_Neg_3.raw Peak RT,Hap1_Neg_3.raw Peak height,Hap1_Neg_3.raw Peak area,Hap1_Neg_3.raw Peak charge,Hap1_Neg_3.raw Peak FWHM,Hap1_Neg_1.raw Peak status,Hap1_Neg_1.raw Peak m/z,Hap1_Neg_1.raw Peak RT,Hap1_Neg_1.raw Peak height,Hap1_Neg_1.raw Peak area,Hap1_Neg_1.raw Peak charge,Hap1_Neg_1.raw Peak FWHM,Hap1_Neg_2.raw Peak status,Hap1_Neg_2.raw Peak m/z,Hap1_Neg_2.raw Peak RT,Hap1_Neg_2.raw Peak height,Hap1_Neg_2.raw Peak area,Hap1_Neg_2.raw Peak charge,Hap1_Neg_2.raw Peak FWHM,
1,265.14642333984375,0.56796165,,4,DETECTED,265.14801025390625,0.56863141,9967800.0,1.9296823481641214E7,1,0.04287584604980477,DETECTED,265.1458740234375,0.56664881,2729437.25,8492984.251706833,1,0.06461518414907463,DETECTED,265.1459045410156,0.57012352,2605887.75,8564594.836495072,1,0.05469882631286904,DETECTED,265.1459045410156,0.56644286,3165329.0,1.0294199785827516E7,1,0.07228196202081483,
2,325.1824951171875,0.56796165,,4,DETECTED,325.1844177246094,0.56863141,5562495.5,1.0727278083328228E7,0,0.04295342350501263,DETECTED,325.18182373046875,0.56664881,1.3085867E7,3.676646557154959E7,1,0.052233604145168866,DETECTED,325.1818542480469,0.57012352,1.2036614E7,3.417656947604509E7,1,0.031073984645020536,DETECTED,325.181884765625,0.56644286,1.2924944E7,3.893808646093277E7,1,0.06692994111345274,
3,695.3096008300781,4.668804424999999,,1,DETECTED,695.3138427734375,4.51911,4712048.5,2.5042947521436952E7,1,0.08539218695542239,ESTIMATED,695.30810546875,4.7157414,1.64877E7,5.2395608659825176E7,1,0.052663058815980435,ESTIMATED,695.3082885742188,4.718914,9601722.0,1.2319166166773511E7,1,0.016847770909550697,ESTIMATED,695.3081665039062,4.7214523,1.7786906E7,6.180517004049358E7,1,0.058126469594147245,
4,311.1669921875,0.56796165,,4,DETECTED,311.16888427734375,0.56863141,4157839.75,8147972.241781373,0,0.04332402384471501,DETECTED,311.1663513183594,0.56664881,1.5047108E7,4.4295465412882954E7,1,0.06067820829497328,DETECTED,311.1663513183594,0.57012352,1.3607701E7,4.252675743740416E7,1,0.03303420086512676,DETECTED,311.1663818359375,0.56644286,1.5522146E7,4.7094285083955E7,1,0.08215622070871043,
5,265.14642333984375,0.8394890125,,4,DETECTED,265.14801025390625,0.80276712,3480938.0,8398361.073789366,1,0.034713824614668765,DETECTED,265.1458740234375,0.84750946,6432486.0,1.2535761742491469E7,1,0.02549191134108897,DETECTED,265.1459045410156,0.85333626,5507640.0,1.2705914623150768E7,1,0.030771123683741797,DETECTED,265.1459045410156,0.85434321,6525956.5,1.3942865128205184E7,1,0.0272154633697268,
6,339.19798278808594,0.56796165,,4,DETECTED,339.2001037597656,0.56863141,3104648.25,6217409.650732796,0,0.04561067675693797,DETECTED,339.197265625,0.56664881,5144310.0,1.4370862620860465E7,1,0.057632123322602924,DETECTED,339.197265625,0.57012352,4840334.5,1.3005609992994912E7,1,0.03275521190468289,DETECTED,339.1972961425781,0.56644286,5180402.0,1.4565709106609507E7,1,0.06973112971332163,
7,671.2675323504639,4.580069975000001,,1,DETECTED,671.2691040039062,4.51911,1945279.375,9886886.285163624,1,0.08067185691442358,ESTIMATED,671.2691040087891,4.6373372,178701.734375,156483.59625375702,0,0.010998979719357926,ESTIMATED,671.2646179199219,4.5272638,9526.3984375,45179.35094155432,0,0.09869366891780373,ESTIMATED,671.2673034692383,4.6365689,253996.953125,204541.12989427985,0,0.008819131566325744,
8,325.1824951171875,1.1016632499999999,,4,DETECTED,325.1844177246094,1.0364609,819850.5,5159622.8395294715,0,0.08139930780513227,DETECTED,325.18182373046875,1.1254807,1.2265242E7,6.918750436957626E7,1,0.06371629166427084,DETECTED,325.1818542480469,1.125599,1.3834423E7,1.1375704115607889E8,1,0.06582208906619025,DETECTED,325.181884765625,1.1191124,1.3886132E7,7.02816076814355E7,1,0.06024043193545592,
9,311.1669921875,0.9469063275,,4,DETECTED,311.16888427734375,0.89991917,566232.0625,2934143.492421387,0,0.08840216194380845,DETECTED,311.1663513183594,0.95770968,3.0711544E7,1.44531959261663E8,1,0.061454810613496114,DETECTED,311.1663513183594,0.97122597,3.024178E7,1.546797112438725E8,1,0.04866872857735127,DETECTED,311.1663818359375,0.95877049,2.891212E7,1.4710650085063344E8,1,0.06223418457363916,
10,818.5873718360901,9.7840444,,3,ESTIMATED,818.5866699615478,9.498773,8008.375,4055.5098710745783,0,0.49733999999999945,DETECTED,818.587890625,9.8842105,1.67861184E9,1.1980160766322903E10,1,0.10630365669414132,DETECTED,818.587158203125,9.880479,1.577367424E9,1.1396873624773218E10,1,0.11306509051380331,DETECTED,818.5877685546875,9.8727151,1.683310336E9,1.1844599420657227E10,1,0.10741345222441367,
