row ID,row m/z,row retention time,row comment,row number of detected peaks,Hap1_Blank.raw Peak status,Hap1_Blank.raw Peak m/z,Hap1_Blank.raw Peak RT,Hap1_Blank.raw Peak height,Hap1_Blank.raw Peak area,Hap1_Blank.raw Peak charge,Hap1_Blank.raw Peak FWHM,Hap1_Pos_3.raw Peak status,Hap1_Pos_3.raw Peak m/z,Hap1_Pos_3.raw Peak RT,Hap1_Pos_3.raw Peak height,Hap1_Pos_3.raw Peak area,Hap1_Pos_3.raw Peak charge,Hap1_Pos_3.raw Peak FWHM,Hap1_Pos_1.raw Peak status,Hap1_Pos_1.raw Peak m/z,Hap1_Pos_1.raw Peak RT,Hap1_Pos_1.raw Peak height,Hap1_Pos_1.raw Peak area,Hap1_Pos_1.raw Peak charge,Hap1_Pos_1.raw Peak FWHM,Hap1_Pos_2.raw Peak status,Hap1_Pos_2.raw Peak m/z,Hap1_Pos_2.raw Peak RT,Hap1_Pos_2.raw Peak height,Hap1_Pos_2.raw Peak area,Hap1_Pos_2.raw Peak charge,Hap1_Pos_2.raw Peak FWHM,
1,550.6256866455078,11.904817000000001,,1,DETECTED,550.6290283203125,11.660869,4.7116204E7,2.995458350022487E8,1,0.08539806479496015,ESTIMATED,550.6246337890625,11.987038,2111861.0,2.987413832252799E7,0,0.018714335789676184,ESTIMATED,550.62451171875,11.984993,1378937.25,2.5754605876609456E7,0,0.0641285021051825,ESTIMATED,550.6245727539062,11.986368,5.264664E8,5.184683454917374E9,0,0.18779323641316203,
2,873.73095703125,18.233829,,1,DETECTED,873.73095703125,18.233829,2.4475318E7,1.2416430023033138E8,1,0.07858996445065713,UNKNOWN,0,0,0,0,0,0,UNKNOWN,0,0,0,0,0,0,UNKNOWN,0,0,0,0,0,0,
3,852.7938232421875,18.1996515,,3,DETECTED,852.8015747070312,18.2378,2.0597798E7,8.966637212606424E7,1,0.06621091006616098,ESTIMATED,852.7861938476562,18.160556,7.96362E7,5.389545551280323E8,0,0.09014502696158289,DETECTED,852.7938842773438,18.185657,7.1075616E7,4.926372637528791E8,1,0.09498787367263972,DETECTED,852.7936401367188,18.214593,8.1060064E7,5.429480696594617E8,1,0.08831638362551786,
4,845.6971054390716,17.515655499999998,,1,DETECTED,845.6996459960938,17.517262,1.993447E7,1.0072230491127916E8,1,0.07534909629899644,ESTIMATED,845.696258586731,17.33558,3425834.0,1.503503324227829E7,0,0.22508358882962654,ESTIMATED,845.696258586731,17.599017,826688.5,1095304.3567322204,0,0.31303887574406986,ESTIMATED,845.696258586731,17.610763,1719939.375,1427949.5665912689,0,1.9534784809483146,
5,824.7634430013275,17.52799775,,1,DETECTED,824.7708740234375,17.506532,1.5389602E7,6.890708329194748E7,1,0.06821341222128297,ESTIMATED,824.7566223144531,17.61038,843729.0,949525.3496813136,0,0.42755099999999757,ESTIMATED,824.7679748861694,17.642496,866344.5,891006.0446700676,0,0.41880700000000104,ESTIMATED,824.75830078125,17.352583,1221965.125,3674944.1922919923,0,0.3775853647508356,
6,901.7495574951172,18.89510225,,1,DETECTED,901.7620849609375,18.912859,1.3187601E7,6.151479295612997E7,1,0.07251687988805244,ESTIMATED,901.7454223632812,18.848057,1.1998031E7,7.646654353230023E7,0,0.10571414678556579,ESTIMATED,901.74560546875,18.887295,1.1043051E7,6.613593038325827E7,0,0.13346663716950502,ESTIMATED,901.7451171875,18.932198,1.1672643E7,6.883563097968265E7,0,0.09802051532220446,
7,654.3296585083008,4.810067925,,1,DETECTED,654.3327026367188,4.5276913,1.0963199E7,6.001573152591405E7,1,0.09742980980822757,ESTIMATED,654.328857421875,4.9123351,7.2822656E7,5.234531891940412E8,1,0.042837044903415666,ESTIMATED,654.3285522460938,4.9160486,6.7360528E7,5.182685985228833E8,1,0.06756624330613281,ESTIMATED,654.3285217285156,4.8841967,4.0097152E7,3.1097285716255796E8,1,0.13627146080781039,
8,857.7457122802734,18.1996515,,1,DETECTED,857.7563781738281,18.2378,9738456.0,4.400598923728997E7,1,0.06930231947336551,ESTIMATED,857.7415466308594,18.160556,1.1670948E7,5.184509095890545E7,0,0.5290775459996375,ESTIMATED,857.74169921875,18.185657,9960850.0,7.865251454443786E7,0,0.10725711852990827,ESTIMATED,857.7432250976562,18.214593,1.0928977E7,6.235430673328636E7,0,0.11044522651742028,
9,880.8266448974609,18.893139249999997,,4,DETECTED,880.8331909179688,18.905007,8034987.0,3.540738196708374E7,1,0.06656537931148065,DETECTED,880.8245239257812,18.848057,6.0802736E7,4.076304392967319E8,1,0.09368499847019862,DETECTED,880.8243713378906,18.887295,5.6704088E7,3.721760277486835E8,1,0.08887734041223894,DETECTED,880.8244934082031,18.932198,5.6404764E7,3.915663240561884E8,1,0.095837812475974,
10,638.6051788330078,11.16980975,,1,DETECTED,638.6088256835938,10.858655,7913694.5,4.1049364852710105E7,1,0.07536610093593055,ESTIMATED,638.6043090820312,11.283439,2488633.75,1.3732269726594413E7,1,0.08275404208376536,ESTIMATED,638.6038818359375,11.285209,2041854.75,1.2249886711331753E7,0,0.09694937665151393,ESTIMATED,638.6036987304688,11.251936,5385728.0,1.1171475851487504E8,1,0.5303696531650566,
11,829.7192586328125,17.498279999999998,,1,DETECTED,829.7252807617188,17.506532,7364765.5,3.44032927481038E7,1,0.07157272116604929,ESTIMATED,829.7153930664062,17.504193,2634461.5,1.5320153364687061E7,0,0.12730542171316728,UNKNOWN,0,0,0,0,0,0,ESTIMATED,829.7171020703125,17.484115,6144270.0,1.0593077395441744E7,0,0.34344447568533454,
12,522.5955581679535,10.81921525,,1,DETECTED,522.59765625,10.587687,7253837.0,4.515148365729901E7,1,0.07986036124559526,ESTIMATED,522.5979309140015,10.979572,1.7213308E7,9.319502991224061E7,0,0.09430614465807707,ESTIMATED,522.5933227539062,10.963471,1.5248772E7,8.436714181245776E7,0,0.08999950067502205,ESTIMATED,522.5933227539062,10.746131,3.5935716E7,8.884100182319366E8,0,0.48914461955132715,
13,750.5471038818359,9.632448025,,2,DETECTED,750.5596313476562,9.6322127,6317637.5,2.965588605997891E7,1,0.07990096215320008,DETECTED,750.5529174804688,9.6090911,1.45324112E8,9.923379167625004E8,1,0.10313092378644839,ESTIMATED,750.5380249023438,9.6293481,1.48017376E8,1.1600654866103878E9,1,0.1034259392893837,ESTIMATED,750.537841796875,9.6591402,1.34144672E8,1.0488777934661604E9,1,0.10592890593322224,
14,638.3068771362305,4.7434814,,1,DETECTED,638.3093566894531,4.5276913,6270263.0,3.337817601782905E7,1,0.09035919468305131,ESTIMATED,638.3059997558594,4.8239976,1.7491698E7,1.573928560460893E8,0,0.15833538413145476,ESTIMATED,638.3060607910156,4.805065,1.8691128E7,1.515001880256774E8,0,0.14651567447189873,ESTIMATED,638.3060913085938,4.8171717,1.8695962E7,6.0663146456514336E7,0,0.05587284087546873,
15,695.3560028076172,4.759702775,,1,DETECTED,695.3592529296875,4.5276913,5948434.5,3.3692569985582076E7,1,0.10103251288623927,ESTIMATED,695.3545227050781,4.8239976,2.1697492E7,2.2856204107542074E8,1,0.1834888352842725,ESTIMATED,695.3547058105469,4.8480755,3.1337314E7,2.749882877138811E8,1,0.18102194814012051,ESTIMATED,695.3555297851562,4.8390467,2.916174E7,1.2470143809400526E8,1,0.07695634275499685,
16,668.6168060302734,10.960233,,1,DETECTED,668.6194763183594,10.896753,5762679.0,3.2463837383661818E7,1,0.08102279347641961,UNKNOWN,0,0,0,0,0,0,UNKNOWN,0,0,0,0,0,0,ESTIMATED,668.6141357421875,11.023713,7512718.0,1.4510315476099503E8,1,0.4644511036592238,
17,723.5092620964051,9.921021675,,1,DETECTED,723.5098876953125,9.6322127,4699110.5,2.306303232240028E7,1,0.08797351502644091,ESTIMATED,723.5081787109375,10.004383,1.1427875E7,3.1521147218541026E7,0,0.2869218834491569,ESTIMATED,723.5094909896851,10.023357,1.1083374E7,1.88350227072512E7,0,0.032038090477726655,ESTIMATED,723.5094909896851,10.024134,4097764.75,9429923.045148654,0,0.30037143060395977,
18,666.6403121961212,12.039418,,1,DETECTED,666.6401977539062,11.938436,4476631.0,2.562599604915894E7,1,0.0829586696298037,ESTIMATED,666.6400451712036,11.965196,360214.21875,716462.1953767915,0,0.3042540611196376,ESTIMATED,666.6461181640625,12.006457,210897.75,329113.1230223328,0,0.2645984640466512,ESTIMATED,666.6348876953125,12.247583,8121510.0,6.1324904183499984E7,0,0.1349591674000461,
19,610.5776367230225,9.81547245,,1,DETECTED,610.577392578125,9.8506483,4139584.5,1.947528294786552E7,1,0.06929566847499302,UNKNOWN,0,0,0,0,0,0,UNKNOWN,0,0,0,0,0,0,ESTIMATED,610.5778808679199,9.7802966,888645.9375,3623937.502267443,0,0.28731205947668137,
20,885.7822418212891,18.941303,,1,DETECTED,885.7879638671875,18.905007,4133139.5,1.8824056792038742E7,1,0.07039740361078017,ESTIMATED,885.7765197753906,18.977599,1414514.75,1457798.1434772895,0,0.23681200000000047,UNKNOWN,0,0,0,0,0,0,UNKNOWN,0,0,0,0,0,0,
21,696.6468658447266,12.19837925,,1,DETECTED,696.6508178710938,11.959296,3805202.75,2.3436603929752346E7,1,0.08689158960605248,ESTIMATED,696.6461181640625,12.228642,66665.015625,120137.83072148741,0,0.4948111938222084,ESTIMATED,696.6449890136719,12.292181,57458.390625,136678.3024700998,0,0.04029669843331973,ESTIMATED,696.6455383300781,12.313398,1.1682488E7,1.4497572850115985E8,1,0.22252788531768175,
22,659.2850036621094,4.715547525,,1,DETECTED,659.2879638671875,4.5276913,3269062.25,1.7719929968461554E7,1,0.09351555805227552,ESTIMATED,659.283935546875,4.7803288,4396525.0,3.042639713101968E7,1,0.11597072323254132,ESTIMATED,659.283935546875,4.7589046,4698531.0,2.9309233887965076E7,1,0.10704002109652055,ESTIMATED,659.2841796875,4.7952654,4859242.0,1.121394154092214E7,1,0.03626947443827255,
23,893.8272857739257,18.28136575,,1,DETECTED,893.8313598632812,18.233829,3225353.0,1.3752418314309454E7,1,0.06586687082253206,ESTIMATED,893.824462890625,18.373067,1058821.875,5052681.546164941,0,0.113219186879288,ESTIMATED,893.82421875,18.368472,1043762.375,2503826.932455112,0,0.15011815269435758,ESTIMATED,893.8291015917969,18.150095,913537.0625,1215104.7024637877,0,0.25842099999999846,
