MS2 ID,Retention Time (min),Rank,Identification,Precursor Mass,Library Mass,Delta m/z,Dot Product,Reverse Dot Product,Purity,Spectral Components,Optimal Polarity,LipiDex Spectrum,Library,Potential Fragments
129,1.579,1,LysoPC 16:0 [M+H]+;,496.34,496.3403,-0.6044,743,916,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
467,5.608,1,Cer[NS] d14:1_20:5 [M+H-H2O]+;,510.437,510.4311,11.5589,202,1000,0,,false,true,LipiDex_HCD_Acetate.msp,196.206 | 208.206 | 226.2165 | 
949,8.932,1,Cer[AS] d18:0_18:0 [M-H]-;,582.546,582.5461,-0.1717,16,1000,0,,true,true,LipiDex_HCD_Acetate.msp,239.238 | 241.2537 | 253.2537 | 270.2802 | 281.2486 | 283.2643 | 298.2752 | 
950,8.933,1,DG 16:0_18:1 [M+NH4]+;,612.557,612.5567,0.4898,2,1000,0,,true,true,LipiDex_HCD_Acetate.msp,239.2369 | 257.2475 | 265.2526 | 283.2632 | 313.2737 | 339.2894 | 
1003,9.257,1,Cer[AS] d19:0_18:0 [M-H]-;,596.562,596.5618,0.3353,4,1000,0,,true,true,LipiDex_HCD_Acetate.msp,253.2537 | 253.2537 | 255.2693 | 281.2486 | 283.2643 | 284.2959 | 298.2752 | 
1031,9.395,1,DG 17:1_18:0 [M+NH4]+;,626.573,626.5723,1.1172,1,1000,0,,true,true,LipiDex_HCD_Acetate.msp,251.2369 | 267.2682 | 269.2475 | 285.2788 | 325.2737 | 341.305 | 
1041,9.453,1,PC 10:0_24:1 [M+H]+;,760.586,760.5856,0.5259,925,1000,0,,false,true,LipiDex_HCD_Acetate.msp,86.0964 | 184.0733 | 
1125,9.818,1,DG 18:1_18:0 [M+NH4]+;,640.588,640.588,0.0,2,1000,0,,true,true,LipiDex_HCD_Acetate.msp,265.2526 | 267.2682 | 283.2632 | 285.2788 | 339.2894 | 341.305 | 
1163,10.013,1,DG 18:1_18:0 [M+NH4]+;,640.588,640.588,0.0,2,1000,0,,true,true,LipiDex_HCD_Acetate.msp,265.2526 | 267.2682 | 283.2632 | 285.2788 | 339.2894 | 341.305 | 
1195,10.154,1,Cer[AS] d19:0_20:0 [M-H]-;,624.593,624.5931,-0.1601,7,1000,0,,true,true,LipiDex_HCD_Acetate.msp,253.2537 | 255.2693 | 281.285 | 284.2959 | 309.2799 | 311.2956 | 326.3065 | 
1207,10.197,1,Cer[NS] d19:0_19:0 [M+Ac-H]-;,654.604,654.6036,0.6111,1,1000,0,,true,true,LipiDex_HCD_Acetate.msp,253.2537 | 279.2693 | 296.2959 | 297.2799 | 322.3115 | 338.3065 | 594.5831 | 
1341,10.825,1,DG 18:0_20:1 [M+NH4]+;,668.62,668.6193,1.0469,3,1000,0,,true,true,LipiDex_HCD_Acetate.msp,267.2682 | 285.2788 | 293.2839 | 311.2945 | 341.305 | 367.3207 | 
1383,11.02,1,Cer[AP] t20:0_21:0 [M-H]-;,668.62,668.6193,1.0469,8,1000,100,Cer[AP] t20:0_21:0 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,266.2741 | 283.2881 | 295.2643 | 295.3006 | 341.3061 | 
1405,11.118,1,DG 20:1_20:1 [M+NH4]+;,694.635,694.635,0.0,3,1000,0,,true,true,LipiDex_HCD_Acetate.msp,293.2839 | 311.2945 | 367.3207 | 
1422,11.214,1,DG 19:0_20:1 [M+NH4]+;,682.635,682.635,0.0,1,1000,0,,true,true,LipiDex_HCD_Acetate.msp,281.2839 | 293.2839 | 299.2945 | 311.2945 | 355.3207 | 367.3207 | 
1460,11.405,1,DG 19:0_20:1 [M+NH4]+;,682.635,682.635,0.0,1,1000,0,,true,true,LipiDex_HCD_Acetate.msp,281.2839 | 293.2839 | 299.2945 | 311.2945 | 355.3207 | 367.3207 | 
1583,11.923,1,DG 20:1_20:0 [M+NH4]+;,696.65,696.6506,-0.8613,3,1000,0,,true,true,LipiDex_HCD_Acetate.msp,293.2839 | 295.2995 | 311.2945 | 313.3101 | 367.3207 | 369.3363 | 
1627,12.103,1,DG 20:1_20:0 [M+NH4]+;,696.651,696.6506,0.5742,3,1000,0,,true,true,LipiDex_HCD_Acetate.msp,293.2839 | 295.2995 | 311.2945 | 313.3101 | 367.3207 | 369.3363 | 
1666,12.271,1,SHexCer d14:0_16:0 [M+H]+;,726.482,726.4826,-0.8259,314,1000,100,SHexCer d14:0_16:0 [M+H]+(100),true,true,LipiDex_HCD_Acetate.msp,198.2216 | 210.2216 | 212.2373 | 228.2322 | 
1768,12.67,1,TG 10:0_10:0_16:0 [M+NH4]+;,656.583,656.5829,0.1523,133,1000,0,,true,true,LipiDex_HCD_Acetate.msp,155.143 | 239.2369 | 383.3156 | 467.4095 | 
1797,12.782,1,Methyl-PA 19:0_20:3 [M-H]-;,753.549,753.5434,7.4316,105,1000,0,,true,true,LipiDex_HCD_Acetate.msp,110.9853 | 167.0115 | 297.2799 | 305.2486 | 
