Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,Filter Status,Hap1_Blank.raw,Hap1_Neg_3.raw,Hap1_Neg_1.raw,Hap1_Neg_2.raw,
0.5392731,454.10858154296875,-,7.385153398516744E7,,,4,,0.0,5.1903180495331936E7,7.385153398516744E7,5.490668209889849E7,
0.5392731,376.1310119628906,-,1.0715032755015649E7,,,4,Adduct of existing peak,0.0,8685822.87190825,1.0715032755015649E7,8649923.146804295,
0.5428224033333333,353.0466003417969,-,1.4043213115777E8,,,4,,0.0,1.299198909744274E8,1.4043213115777E8,1.3745564078434047E8,
0.5463800499999999,368.0328674316406,-,1805786.5523339615,,,4,,0.0,1393070.580542822,281911.8812079825,1805786.5523339615,
0.5499487933333334,371.0568542480469,-,9484499.117254794,,,4,Adduct of existing peak,0.0,8680946.234290412,9484499.117254794,9301593.319036078,
0.5500743674999999,456.12278747558594,+,5.584201746338725E7,,,4,Adduct of existing peak,3377.537938329773,3.8807889132967666E7,4.194482146785107E7,5.584201746338725E7,
0.55095536,309.1239318847656,+,2.6839060869496349E8,,,4,,0.0,2.0249059058326107E8,2.6839060869496349E8,2.5500613738577783E8,
0.55095536,353.11390686035156,+,9.16915906101007E7,,,4,Adduct of existing peak,0.0,6.771160104835388E7,8.902791508844762E7,9.16915906101007E7,
0.55095536,273.088623046875,+,8349882.0771068055,,,4,,0.0,6431443.7090536505,7478188.237597253,8349882.0771068055,
0.55095536,263.1188049316406,+,9122940.035280328,,,4,,0.0,7411708.167361347,9122940.035280328,8780683.723260585,
0.5553743725,337.102294921875,+,1.7266295765445724E7,,,4,,176906.00561453885,1.275546189525898E7,1.7266295765445724E7,1.594851385895269E7,
0.5585684025000001,307.1099853515625,-,1.25769823580703E7,,,4,Adduct of existing peak,73465.3187750589,8421232.048217794,1.25769823580703E7,9088053.275504591,
0.5585702,311.1250305175781,+,1.172910606789518E7,,,4,,13469.761640342875,8427188.881275073,1.172910606789518E7,1.0981233687713701E7,
0.5587384625,301.1405029296875,+,7426901.818120412,,,4,Adduct of existing peak,238783.53352916904,5552382.113685188,7426901.818120412,7405021.92400088,
0.5646707225,335.1029052734375,+,4.1779004602701443E8,,,4,,40556.325644669196,3.162797418941283E8,4.1779004602701443E8,4.008241121311078E8,
0.565334045,447.131103515625,-,9394209.658948213,,,4,Adduct of existing peak,418900.99140820716,9222312.332792003,8922269.476619083,9394209.658948213,
0.5653963433333333,756.3872680664062,+,9007667.320718724,,,4,,0.0,6521531.598735118,8601914.868842693,9007667.320718724,
0.5677383966666666,558.2794189453125,-,4.530660454097279E7,,,4,,0.0,4.330322430834652E7,3.552942397201046E7,4.530660454097279E7,
0.5677383966666666,582.2794189453125,-,2.8061570596413933E7,,,4,Adduct of existing peak,0.0,2.6334575732763495E7,2.4142128044688445E7,2.8061570596413933E7,
0.5677383966666666,584.2951049804688,-,8277389.3170214845,,,4,Adduct of existing peak,0.0,7903291.187394464,6332016.947723716,8277389.3170214845,
0.5677383966666666,422.22657775878906,-,2923807.4896380384,,,4,,0.0,2446845.4771543695,2367088.019321271,2923807.4896380384,
0.5677383966666666,399.2146301269531,-,6962403.28777875,,,4,Adduct of existing peak,0.0,6150984.057746619,5955714.664982081,6962403.28777875,
0.56796165,265.14801025390625,-,1.9296823481641214E7,,,4,,1.9296823481641214E7,8492984.251706833,8564594.836495072,1.0294199785827516E7,
0.56796165,325.181884765625,-,3.893808646093277E7,,,4,,1.0727278083328228E7,3.676646557154959E7,3.417656947604509E7,3.893808646093277E7,
0.56796165,311.1663818359375,-,4.7094285083955E7,,,4,,8147972.241781373,4.4295465412882954E7,4.252675743740416E7,4.7094285083955E7,
0.56796165,339.1972961425781,-,1.4565709106609507E7,,,4,,6217409.650732796,1.4370862620860465E7,1.3005609992994912E7,1.4565709106609507E7,
0.56796165,297.1507263183594,-,2.4586216837941688E7,,,4,Adduct of existing peak,884734.4542503438,2.3737912015606437E7,2.194571752564105E7,2.4586216837941688E7,
0.5694009375,381.16632080078125,+,1.6534985488334835E7,,,4,Adduct of existing peak,18244.598198755095,1.166844353972681E7,1.6534985488334835E7,1.2999000972657034E7,
0.5725801100000001,659.3351440429688,+,4.475657270096746E7,,,4,,8642.133533367323,3.449953981721881E7,4.45602350463697E7,4.475657270096746E7,
0.57261025,361.2705383300781,+,3.3758466745879896E7,,,4,,0.0,2.5338458897950497E7,3.3758466745879896E7,2.7845589787786733E7,
0.57261025,560.2937316894531,+,8616187.741057312,,,4,Adduct of existing peak,0.0,6360198.986624125,8616187.741057312,7007323.714906105,
0.57261025,387.2861328125,+,6387111.076851623,,,4,Adduct of existing peak,0.0,5317934.933934423,6387111.076851623,5465561.745916845,
0.57261025,643.4976196289062,+,4146911.312998003,,,4,,0.0,2936937.249722959,4146911.312998003,2804895.9774198113,
0.57261025,385.2704772949219,+,2.9738089193115693E7,,,4,Adduct of existing peak,0.0,2.254422504390607E7,2.9738089193115693E7,2.680913997719545E7,
0.57261025,629.3515014648438,+,1.3689472242003294E7,,,4,,0.0,9477360.537835974,1.3689472242003294E7,4350676.838676028,
0.577258,317.1370544433594,-,4.457459585192182E7,,,4,Adduct of existing peak,16389.660837230706,4.0581557708520986E7,4.457459585192182E7,4.364225298483535E7,
0.577258,555.26904296875,-,1.995766543363978E7,LysoPG 22:6,LysoPG,4,,14006.341926583178,1.891361944685294E7,1.7548488688131016E7,1.995766543363978E7,
0.5787434025,377.0826721191406,-,2.52144898168606E7,,,4,,30151.427290318337,1.3846273022613743E7,6076947.6642730795,2.52144898168606E7,
0.5806705125,379.15338134765625,-,2.599414103107421E7,,,4,,25231.388215327588,2.347330925325365E7,2.2442567733135056E7,2.599414103107421E7,
0.5809118900000001,367.12884521484375,+,1.9524428939856693E7,,,4,Adduct of existing peak,121764.55904476537,1.427380703602991E7,1.9524428939856693E7,1.6823375734839506E7,
0.5809118900000001,395.1627197265625,+,1.435956812918159E7,,,4,Adduct of existing peak,324211.8064221332,9918967.910370607,1.435956812918159E7,1.3627054880757565E7,
0.584054405,449.2147979736328,-,7298375.172273086,,,4,Adduct of existing peak,9869.957817750146,6690888.943211136,6397097.705309785,7298375.172273086,
0.5910998475,520.3292236328125,+,2.608512209027852E7,,,4,,822206.4539306262,2.0626819502428297E7,2.324443435710577E7,2.608512209027852E7,
0.5910998475,476.30340576171875,+,2.996885577063751E7,,,4,,985610.7377271793,2.2416902371340755E7,2.765951414346864E7,2.996885577063751E7,
0.5910998475,564.3551025390625,+,2.0714017580931656E7,,,4,,730795.6330582618,1.757746421903955E7,1.7668785576774612E7,2.0714017580931656E7,
0.5910998475,608.3864135742188,+,1.501405458307599E7,,,4,,579635.1015998637,1.4577625813864402E7,1.2254869034429666E7,1.501405458307599E7,
0.5910998475,652.4113159179688,+,1.1417025086930353E7,,,4,,412168.5291109032,1.1417025086930353E7,8496266.414639633,1.058057958507653E7,
0.5910998475,432.2772521972656,+,2.6353476146548297E7,,,4,,799284.8258991985,1.7491354942213878E7,2.435235227241685E7,2.6353476146548297E7,
0.5910998475,696.4332885742188,+,7638156.624554118,,,4,,287384.39507914096,7638156.624554118,5657457.708817226,6857849.34245114,
0.5910998475,740.4591674804688,+,5928765.316860399,,,4,,228788.25788547276,5928765.316860399,3417105.660091493,5565033.638834708,
0.5910998475,784.4837646484375,+,4098579.7513231416,,,4,,161223.41483794423,4098579.7513231416,2531237.648369039,3788660.799722845,
0.5910998475,388.2513427734375,+,1.3349069060361192E7,,,4,Adduct of existing peak,353677.9739775976,7600003.022329321,1.1634661269517226E7,1.3349069060361192E7,
0.5910998475,371.2234191894531,+,1.2715756058896815E7,,,4,Adduct of existing peak,348619.67089817807,7699053.528743,1.1356595185420638E7,1.2715756058896815E7,
0.5943282233333332,1027.4847412109375,+,6976658.24644042,,,4,,0.0,2889939.0848215097,5998337.3134976225,6976658.24644042,
0.5943282233333332,422.1540832519531,+,1580881.908302511,,,4,,0.0,1312900.3419614804,1512002.0645212696,1580881.908302511,
0.5943282233333332,582.300048828125,+,4663639.247311298,,,4,,0.0,989739.0679293503,313942.8541323219,4663639.247311298,
0.5949356324999999,273.14756774902344,-,2.9145451313239027E7,,,4,,15099.36090497523,2.676252983351349E7,2.596301363079867E7,2.9145451313239027E7,
0.5972003699999999,412.206298828125,+,1.0464796409824902E7,,,4,Adduct of existing peak,48111.27691819818,4720550.978895348,5439649.641537255,1.0464796409824902E7,
0.6004752400000001,1023.4535522460938,-,1786651.6444038213,,,4,,0.0,1487930.5534996828,1298293.6954142011,1786651.6444038213,
0.6006128825,258.10784912109375,+,3.664954744123671E7,,,4,,2607.512463021384,2.4208745215412963E7,3.2587530325939935E7,3.664954744123671E7,
0.6006128825,258.1078338623047,+,3.880968299208491E7,,,4,,2607.512463021384,2.4208745215412963E7,3.2571853717958357E7,3.880968299208491E7,
0.6036817075,585.2843627929688,+,7706434.646394293,,,4,Adduct of existing peak,124272.77218087784,4993622.4180003395,2069753.8249075017,7706434.646394293,
0.6090525,305.15467834472656,+,1.9264737855651792E7,,,4,,1702929.5435674994,1.6536568231191078E7,1.8838518258627087E7,1.9264737855651792E7,
0.6090525,393.2063903808594,+,1.5668341524905488E7,,,4,Adduct of existing peak,298781.61050975404,1.537612790499527E7,1.5668341524905488E7,1.1073671671024948E7,
0.6150707575000001,261.1288146972656,+,2.1751508556442898E7,,,4,,5203677.153426315,1.673179115348351E7,2.142712984158555E7,2.1751508556442898E7,
0.6150707575000001,453.2061767578125,+,1.760843795387185E7,,,4,,368487.87534813717,1.1053678930389853E7,1.2426732941753384E7,1.760843795387185E7,
0.6150707575000001,409.1803283691406,+,2.006775271643582E7,,,4,,434983.84468604863,1.0878609796162603E7,1.3051660641592337E7,2.006775271643582E7,
0.6150707575000001,497.2323303222656,+,1.4339515135359949E7,,,4,Adduct of existing peak,177609.37242433356,9312884.732169038,5525872.3060001815,1.4339515135359949E7,
0.6150707575000001,541.2579956054688,+,1.0719633099252028E7,,,4,,126143.11053995682,7187324.941534167,8302232.84149088,1.0719633099252028E7,
0.6150707575000001,321.1285705566406,+,1.4462680478377817E7,,,4,Adduct of existing peak,390637.4617688419,6806231.229055132,7138580.141058867,1.4462680478377817E7,
0.686469515,249.11135864257812,-,1.3897100711481627E7,,,4,,56784.03367539408,1.1790688541534761E7,1.3897100711481627E7,1.2267196249337718E7,
0.7164075825,379.15338134765625,-,2.1113818000933647E7,,,4,,42799.889967149415,2.0116950833353043E7,1.984097250389284E7,2.1113818000933647E7,
0.717994355,292.1996154785156,+,6.081364149223791E7,,,4,,6200.736582687194,5.489794175262553E7,6.081364149223791E7,4.9300135319233164E7,
0.7234933375,320.1942138671875,+,1.4578202177951083E7,,,4,,1015.8046781108615,1.2966798966474252E7,1.4578202177951083E7,1.1901712467058292E7,
0.7327430724999999,249.1475372314453,-,6.942555468429278E7,,,4,,89410.03224310795,6.303136429932375E7,6.942555468429278E7,6.47014842646857E7,
0.740123785,317.1370544433594,-,4.15613494186777E7,,,4,,15698.688846623652,3.29786318298368E7,4.15613494186777E7,3.563352168340623E7,
0.7418581675,273.1476745605469,-,2.2709728751038823E7,,,4,Adduct of existing peak,27176.09965614126,2.032332365321194E7,2.2709728751038823E7,2.2289183228086974E7,
0.75374381,374.2401885986328,+,2.015270789048026E7,,,4,,0.0,1.774580697425903E7,2.015270789048026E7,1.913257901560528E7,
0.7537861466666667,419.2986755371094,+,1.0205635393858738E7,,,4,,0.0,9423557.542901305,1.0205635393858738E7,7483667.479721779,
0.757324095,431.0915222167969,+,4.280198131549255E7,,,4,Adduct of existing peak,16602.125259908174,3.788884990812459E7,4.280198131549255E7,3.3199843350935645E7,
0.7629788799999999,429.07708740234375,-,4.771077823759641E7,,,4,,0.0,3.3022979840057895E7,4.771077823759641E7,3.5341879520911515E7,
0.7692979699999999,453.3034362792969,+,1.961925443601948E7,,,4,,0.0,1.770887832696933E7,1.961925443601948E7,1.3908898207136076E7,
0.7692979699999999,408.2460021972656,+,1.212987060027264E7,,,4,,0.0,1.0336681866746474E7,1.212987060027264E7,1.134168952786444E7,
0.8300435566666667,494.2490234375,-,9708812.49095869,LysoPS 16:1,LysoPS,4,,0.0,9431053.376960067,9145864.355818419,9708812.49095869,
0.8349949066666666,399.2147216796875,-,1.780766013673466E7,,,4,,0.0,1.183905361881908E7,1.780766013673466E7,1.2554630730715329E7,
0.8371886766666666,355.2253112792969,-,9647042.205366299,,,4,,0.0,7341313.577346127,9647042.205366299,7951193.488183044,
0.8394890125,265.1459045410156,-,1.3942865128205184E7,,,4,,8398361.073789366,1.2535761742491469E7,1.2705914623150768E7,1.3942865128205184E7,
0.851543715,517.2770385742188,-,2286568.752371023,,,4,,6942.192662840117,1914992.8883863008,2286568.752371023,2202637.4678454837,
0.8541650875,297.1507263183594,-,4.122565137725244E7,,,4,,323757.8976015467,4.1210526412683584E7,3.607079158243147E7,4.122565137725244E7,
0.8644842066666666,570.2830200195312,+,3.1459244508145094E7,,,4,Adduct of existing peak,0.0,3.104133364637718E7,2.7339639445791487E7,3.1459244508145094E7,
0.8644842066666666,570.275146484375,+,3.5277202133141354E7,,,4,Adduct of existing peak,0.0,3.190744832856743E7,3.5277202133141354E7,3.2184173659457836E7,
0.8748248266666666,568.2637329101562,-,2.4511732787922647E7,LysoPS 22:6,LysoPS,4,,0.0,2.437000402882435E7,2.281828445693441E7,2.4511732787922647E7,
0.8751963475,422.2267150878906,-,9801160.911063809,LysoPE 14:1,LysoPE,4,,5453.438357018371,9801160.911063809,9305340.329026062,9648491.017105557,
0.8771418866666667,621.298095703125,+,3.1621556925763354E7,,,4,Adduct of existing peak,0.0,2.9263480250801872E7,3.1621556925763354E7,2.8820849578092974E7,
0.8784657966666667,643.2847900390625,-,7499220.618580883,,,4,Adduct of existing peak,0.0,6880318.303364446,7499220.618580883,7306254.8065554155,
0.87951771,435.27044677734375,-,9.18185390257033E7,,,4,Adduct of existing peak,24462.229887055222,8.187074230383274E7,9.18185390257033E7,8.529329554717565E7,
0.8835585466666668,490.28778076171875,+,1.5583276112276893E7,,,4,,0.0,1.4522725459859245E7,1.455364331107128E7,1.5583276112276893E7,
0.8835585466666668,546.2781677246094,+,1.4062279278204389E7,,,4,Adduct of existing peak,0.0,1.4062279278204389E7,1.3491631016615119E7,1.3851993840627734E7,
0.8835585466666668,385.2705078125,+,1.262195801515596E7,,,4,Adduct of existing peak,0.0,1.0939664667378036E7,1.1342898073083602E7,1.262195801515596E7,
0.88521485,466.28863525390625,+,5.173813016194525E7,LysoPC 14:1,LysoPC,8,,3694.1089655839605,5.173813016194525E7,5.115653362309138E7,5.040961809082052E7,
0.8855880233333333,621.2998046875,-,9305246.472325465,,,4,Adduct of existing peak,0.0,8871144.829273274,9305246.472325465,8758317.414486852,
0.8892539833333334,544.263427734375,-,1.1794923613312049E7,LysoPS 20:4,LysoPS,4,,0.0,1.1337053483976398E7,1.0568313962010149E7,1.1794923613312049E7,
0.88938357,603.288330078125,+,2.2610051324904297E7,,,4,Adduct of existing peak,0.0,1.8742255422586232E7,2.2610051324904297E7,2.1424272543354142E7,
0.8927519233333333,619.2843627929688,-,1.2854549412920475E8,LysoPI 20:4,LysoPI,4,RT out of class range,0.0,1.2495863225171134E8,1.2854549412920475E8,1.2621365975552772E8,
0.8946049725,459.2625427246094,+,8557876.142749274,,,4,Adduct of existing peak,24594.503512642914,6698477.215350136,8557876.142749274,8436445.036517931,
0.8963796975,436.2799835205078,-,2.28401056362996E7,,,4,Adduct of existing peak,1001.8180183259711,2.1567407361362677E7,2.28401056362996E7,2.114884938472607E7,
0.8994674850000001,361.2705383300781,+,7.282383324706143E7,,,4,,8750.880990413025,7.086490846505535E7,7.282383324706143E7,6.903438361203653E7,
0.90138666,524.2960205078125,-,1.144582957108163E7,LysoPC 14:1,LysoPC,4,Redundant Identification,0.0,1.0725007747572266E7,1.0507288228626601E7,1.144582957108163E7,
0.901796105,463.3241882324219,+,4.5248839789398365E7,,,4,,115700.41277277656,3.5902160129254065E7,4.5248839789398365E7,4.0474065855212554E7,
0.9024217499999999,421.31414794921875,+,3.6117910111430006E9,,,4,,0.0,3.6117910111430006E9,3.320037449957166E9,2.6494869541313896E9,
0.9024217499999999,449.3446044921875,+,5.3238968901007247E8,,,4,,0.0,5.3238968901007247E8,2.9550926764268965E8,2.3209431601083416E8,
0.9024217499999999,490.3705139160156,+,4.099088901721406E7,,,4,Adduct of existing peak,0.0,2.172845603472934E7,4.099088901721406E7,1.3561215688540088E7,
0.9050193166666666,810.5230102539062,-,6386438.998613052,,,4,Adduct of existing peak,0.0,6350487.936045901,5894475.415118885,6386438.998613052,
0.90921967,751.5130004882812,+,6.411642219762129E8,,,4,Adduct of existing peak,0.0,5.66906874610126E8,5.823129780418595E8,6.411642219762129E8,
0.90921967,450.34771728515625,+,1.4160483121470386E8,,,4,Adduct of existing peak,0.0,1.4160483121470386E8,7.865193254722048E7,6.202866508589373E7,
0.9097405566666668,292.1996154785156,+,2.392292946030627E7,,,4,,0.0,2.2798748379047327E7,2.392292946030627E7,2.3779464993427347E7,
0.9102909675,393.28326416015625,+,1.0823719891852264E9,,,4,Adduct of existing peak,6266.440854687496,9.496494805821775E8,1.0555109531912025E9,1.0823719891852264E9,
0.91352998,376.25640869140625,+,1.4186990296327635E10,,,4,,2038.822505426005,1.3450952560382696E10,1.4186990296327635E10,1.4179724739193956E10,
0.92064784,785.4684448242188,-,5.7203714296038896E7,,,4,Adduct of existing peak,0.0,3.5243675825626165E7,5.7203714296038896E7,3.928146293962863E7,
0.9230606866666666,768.5318298339844,+,9.851555409891537E8,,,4,Dimer,0.0,8.812212172754582E8,9.708034311772763E8,9.851555409891537E8,
0.9230606866666666,1126.755859375,+,4850271.771361535,,,4,Adduct of existing peak,0.0,3923472.4077263456,4334525.853036764,4850271.771361535,
0.9242414600000001,435.3124084472656,+,3.535681571567553E8,,,4,Adduct of existing peak,18475.364676894947,2.4587483179132903E8,3.535681571567553E8,3.1554973026917785E8,
0.9268023266666666,434.3096008300781,+,1.4050299941660848E9,,,4,Adduct of existing peak,0.0,9.907613907179332E8,1.4050299941660848E9,1.2289709024784946E9,
0.9268023266666666,477.3753662109375,+,4.531320902272251E7,,,4,,0.0,4.260696782467208E7,4.531320902272251E7,2.4602886793093264E7,
0.9278311966666667,749.4886474609375,-,2.2886215523740795E7,,,4,Dimer,0.0,1.8058768862863738E7,2.2886215523740795E7,2.22874698825771E7,
0.9288571600000001,296.20916748046875,+,1.8427026098966643E7,,,4,,0.0,1.5894597575552141E7,1.8427026098966643E7,1.281863087550832E7,
0.9337144199999999,752.508544921875,+,3.0651070560682815E8,,,4,Dimer,10642.226041938127,2.7469592765287614E8,2.9576691556370455E8,3.0651070560682815E8,
0.93618289,796.5719604492188,+,1.0912844978000304E8,,,4,Adduct of existing peak,0.0,1.0912844978000304E8,9.07991068720917E7,7.409847419558485E7,
0.93618289,1143.7808837890625,+,1.9876585192947924E7,,,4,,0.0,1.8170539681564167E7,1.8249522433690682E7,1.9876585192947924E7,
0.93618289,1171.81103515625,+,1.250227200547585E7,,,4,,0.0,1.250227200547585E7,1.1171826121854754E7,8307597.395820933,
0.93618289,1184.79541015625,+,6299890.761724303,,,4,,0.0,3126709.6533357087,5854783.508689064,6299890.761724303,
0.93618289,796.5627136230469,+,1.0832756903479835E8,,,4,Adduct of existing peak,0.0,1.0832756903479835E8,9.641147744494963E7,7.184101165579958E7,
0.93618289,809.5477600097656,+,2.2997363832009923E7,,,4,Adduct of existing peak,0.0,1.7679765083088566E7,2.1885908092336297E7,2.2997363832009923E7,
0.94149386,410.2181396484375,-,1.686370015306054E8,,,4,Adduct of existing peak,7600.438050387807,1.051558638053558E8,1.686370015306054E8,1.1835351550149457E8,
0.94195099,770.5320739746094,+,1.2566810792404866E8,,,4,Dimer,0.0,1.1116114806524725E8,1.2566810792404866E8,1.2469126436827917E8,
0.9434475766666667,773.487060546875,+,4.8349526929191124E8,,,4,Adduct of existing peak,0.0,3.419477314949342E8,4.579820094355505E8,4.8349526929191124E8,
0.9434475766666667,789.4601440429688,+,8.205138129288884E7,,,4,Dimer,0.0,5.545797067897744E7,7.176713282911979E7,8.205138129288884E7,
0.9469063275,311.1663513183594,-,1.546797112438725E8,,,4,,2934143.492421387,1.44531959261663E8,1.546797112438725E8,1.4710650085063344E8,
0.959044365,412.21478271484375,-,5.308531427094737E7,,,4,,49482.98735348317,3.3162245052676395E7,5.308531427094737E7,3.726969377006118E7,
