Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,Plasma_PS.raw (F1),PDH_Blank_Neg.raw (F2),PDH_Blank_Pos_171003103943.raw (F3),Plasma_Neg_1.raw (F4)+Plasma_Pos_1.raw (F7),Plasma_Neg_2.raw (F5)+Plasma_Pos_2.raw (F8),Plasma_Neg_3.raw (F6)+Plasma_Pos_3.raw (F9),
0.541,448.30563,-,71024.06787,,,2,58792.07461,596.1089931,0.0,54474.48862,71024.06787,57846.22028,
0.551,449.25342,-,23511.01546,,,3,19833.94194,386.2394548,0.0,21214.45883,23511.01546,21259.4905,
0.552,244.90723,-,28994.13379,,,4,22152.04946,752.7151861,0.0,25791.83212,28994.13379,26885.51352,
0.552,366.8996,-,14628.07526,,,3,4153.645967,271.928819,0.0,14003.78827,14628.07526,13321.22576,
0.558,498.28833,-,15443.79451,,,2,9692.70594,520.6911483,0.0,13165.99124,15443.79451,13160.32956,
0.561,367.15723,-,552258.1503,,,4,387398.0975,8632.343918,0.0,510569.8524,552258.1503,543467.2748,
0.562,397.20395,-,80564.99015,,,2,55360.91363,532.1226935,0.0,73957.62095,80564.99015,79724.47108,
0.569,293.17834,-,104260.8806,,,4,56110.14672,29549.11478,0.0,93003.13535,103954.2749,104260.8806,
0.574,453.34116,+,16554.42305,,,3,16554.42305,0.0,1509.953209,10027.32414,12350.52612,11723.51243,
0.576,265.147,-,182022.7701,,,5,92863.42573,57231.3269,0.0,147159.5492,170838.4549,182022.7701,
0.584,782.56659,+,64458.12814,,,2,63015.2882,0.0,2118.468628,2305.598201,64458.12814,64035.3893,
0.587,570.91602,+,115477.2078,,,4,64733.58612,0.0,22093.85233,115477.2078,104098.2214,46724.37162,
0.588,663.45239,+,2828548.698,,,3,213378.5272,0.0,13567.64821,2828548.698,296172.3172,187226.4212,
0.628,433.00323,+,1177696.279,,,5,1177696.279,0.0,245008.2572,310201.2704,277946.7526,255991.2143,
0.631,701.49225,+,41115.73512,,,2,28995.25664,0.0,2816.186868,41115.73512,37208.30063,29453.77645,
0.639,637.00195,+,171142.6725,,,4,171142.6725,34741.95753,21209.32492,162533.6141,126836.0708,153284.5486,
0.644,329.19257,+,28824.30815,,,2,28824.30815,8949.374651,1553.75287,12561.9134,14480.65936,14788.6686,
0.658,419.16721,+,56403.4253,,,2,56403.4253,0.0,7814.466798,19392.50394,19754.91753,18873.14316,
0.668,546.97583,+,101208.3092,,,3,101208.3092,0.0,25244.42551,17076.98802,18868.01953,18930.14654,
0.678,491.29858,+,57028.96101,,,3,57028.96101,0.0,2911.368227,27024.4931,34373.46379,40037.39764,
0.68,604.38257,+,26355.15929,,,2,26355.15929,0.0,1960.353066,14346.29438,17234.14979,21683.469,
0.696,429.23904,+,71077.81057,,,3,71077.81057,0.0,17842.57152,18111.91801,15764.01121,23182.36963,
0.7,403.1727,+,123811.642,,,5,123811.642,0.0,17361.11052,26480.38898,32329.06121,27474.90203,
0.701,331.19049,-,29272.80445,,,3,14023.01501,1673.196656,0.0,29272.80445,24811.45341,26389.85559,
0.702,501.15143,+,27275.26474,,,4,27275.26474,0.0,8215.471651,20697.59541,21705.37278,23479.87212,
0.705,299.02515,-,76651.77022,,,2,76651.77022,4438.034467,0.0,4067.439919,9660.888178,56051.6198,
0.715,415.17212,+,58908.63233,,,2,58908.63233,0.0,11309.81275,9898.868698,15345.50676,16397.63385,
0.727,459.19824,+,69095.19514,,,5,69095.19514,0.0,20559.09085,39899.04159,37144.08617,32320.17433,
0.728,574.29175,+,16085.37646,,,2,16085.37646,0.0,2044.738955,11445.74961,10640.08904,14069.17254,
0.757,313.11871,-,36358.18946,,,3,14252.73744,609.5754191,0.0,34059.04066,33567.06402,36358.18946,
0.765,518.19019,+,14650.91913,,,3,14650.91913,0.0,3963.451216,14378.62338,12818.13329,12841.912,
0.781,373.04391,-,56644.4443,,,2,26381.32308,6186.998103,0.0,4443.521595,8869.291821,56644.4443,
0.787,429.18982,+,225365.2002,,,4,225365.2002,0.0,52929.70403,67613.03362,63905.72727,62898.37871,
0.837,523.14679,-,13197.23422,,,2,9432.88755,468.2041615,0.0,8079.347984,10475.72805,13197.23422,
0.865,469.16165,+,394428.0365,,,4,394428.0365,0.0,113982.6943,251171.1668,294375.4742,268412.8537,
0.868,619.28735,-,28445.72107,LysoPI 20:4,LysoPI,2,18574.86281,578.255859,0.0,19312.39795,28359.05583,28445.72107,
0.875,409.02625,-,19118.79473,,,3,19118.79473,5844.454377,0.0,10056.83111,10025.07148,12835.62705,
0.877,595.28729,-,11213.0502,,,2,7019.266626,416.9726003,0.0,9486.727678,10951.73482,11213.0502,
0.884,281.10983,+,829688.5413,,,5,829688.5413,66072.44286,275.9271548,68377.0775,66172.79901,68883.26503,
