MS2 ID,Retention Time (min),Rank,Identification,Precursor Mass,Library Mass,Delta m/z,Dot Product,Reverse Dot Product,Purity,Spectral Components,Optimal Polarity,LipiDex Spectrum,Library,Potential Fragments
223,0.889,1,LysoPI 20:4 [M-H]-;,619.288,619.2883,-0.4844,806,938,100,LysoPI 20:4 [M-H]-(100),true,true,Coon_Lab_HCD_Acetate_20171009.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 241.0119 | 303.233 | 315.0487 | 333.0619 | 
247,0.978,1,LysoPC 14:0 [M+Ac-H]-;,526.314,526.3145,-0.95,479,962,100,LysoPC 14:0 [M+Ac-H]-(100),true,true,Coon_Lab_HCD_Acetate_20171009.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 227.2017 | 241.0721 | 452.2783 | 
257,1.018,1,LysoPC 20:5 [M+Ac-H]-;,600.329,600.3301,-1.8323,676,681,100,LysoPC 20:5 [M+Ac-H]-(100),true,true,Coon_Lab_HCD_Acetate_20171009.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 301.2173 | 526.2939 | 
259,1.024,1,LysoPE 16:0 [M-H]-;,452.277,452.2777,-1.5477,2,1000,100,LysoPE 16:0 [M-H]-(100),true,true,Coon_Lab_HCD_Acetate_20171009.msp,78.9591 | 140.0118 | 196.038 | 214.0486 | 255.233 | 
261,1.033,1,LysoPC 18:3 [M+Ac-H]-;,576.329,576.3301,-1.9086,740,740,100,LysoPC 18:3 [M+Ac-H]-(100),true,true,Coon_Lab_HCD_Acetate_20171009.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 277.2173 | 502.2939 | 
263,1.035,1,LysoPC 18:2 [M+Ac-H]-;,578.344,578.3458,-3.1123,826,826,100,LysoPC 18:2 [M+Ac-H]-(100),true,true,Coon_Lab_HCD_Acetate_20171009.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 279.233 | 504.3096 | 
264,1.037,1,LysoPC 20:4 [M+Ac-H]-;,602.345,602.3458,-1.3281,878,879,100,LysoPC 20:4 [M+Ac-H]-(100),true,true,Coon_Lab_HCD_Acetate_20171009.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 303.233 | 528.3096 | 
266,1.044,1,LysoPC 16:1 [M+Ac-H]-;,552.329,552.3301,-1.9916,632,653,100,LysoPC 16:1 [M+Ac-H]-(100),true,true,Coon_Lab_HCD_Acetate_20171009.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 253.2173 | 478.2939 | 
270,1.059,1,LysoPE 20:4 [M-H]-;,500.277,500.2777,-1.3992,982,993,100,LysoPE 20:4 [M-H]-(100),true,true,Coon_Lab_HCD_Acetate_20171009.msp,78.9591 | 140.0118 | 196.038 | 214.0486 | 259.2431 | 303.233 | 
275,1.077,1,LysoPC 15:0 [M+Ac-H]-;,540.329,540.3301,-2.0358,7,1000,100,LysoPC 15:0 [M+Ac-H]-(100),true,true,Coon_Lab_HCD_Acetate_20171009.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 241.0721 | 241.2173 | 466.2939 | 
