MS2 ID,Retention Time (min),Rank,Identification,Precursor Mass,Library Mass,Delta m/z,Dot Product,Reverse Dot Product,Purity,Spectral Components,Optimal Polarity,LipiDex Spectrum,Library,Potential Fragments
146,0.595,1,TG 16:0_18:2_18:1 [M+NH4]+;,874.784,874.7864,-2.7435,990,994,86,TG 16:0_18:2_18:1 [M+NH4]+(86) / TG 16:1_18:1_18:1 [M+NH4]+(14),true,true,LipiDex_HCD_Acetate.msp,239.2369 | 263.2369 | 265.2526 | 575.5034 | 577.519 | 601.519 | 237.2213 | 603.5347 | 
245,0.968,1,LysoPC 14:0 [M+H]+;,468.308,468.309,-2.1353,722,737,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
246,0.971,1,LysoPC 20:5 [M+H]+;,542.323,542.3247,-3.1347,729,732,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
255,1.006,1,LysoPC 18:3 [M+H]+;,518.324,518.3247,-1.3505,958,964,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
261,1.029,1,LysoPC 16:1 [M+H]+;,494.323,494.3247,-3.439,981,987,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
265,1.041,1,LysoPC 18:2 [M+H]+;,520.339,520.3403,-2.4984,967,975,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
266,1.042,1,LysoPC 20:4 [M+H]+;,544.339,544.3403,-2.3882,964,969,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
267,1.043,1,LysoPC 16:0 [M+H]+;,496.339,496.3403,-2.6192,730,732,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
269,1.05,1,LysoPC 22:6 [M+H]+;,568.339,568.3403,-2.2874,972,977,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
272,1.06,1,LysoPC 15:0 [M+H]+;,482.323,482.3247,-3.5246,953,985,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
280,1.09,1,LysoPC 20:3 [M+H]+;,546.355,546.356,-1.8303,981,988,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
293,1.141,1,LysoPC 18:3 [M+H]+;,518.321,518.3247,-7.1384,107,270,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
300,1.166,1,LysoPC 18:1 [M+H]+;,522.355,522.356,-1.9144,739,743,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
304,1.181,1,LysoPC 16:1 [M+H]+;,494.325,494.3247,0.6069,938,959,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
308,1.193,1,LysoPC 16:0 [M+H]+;,496.339,496.3403,-2.6192,976,990,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
319,1.234,1,LysoPC 20:3 [M+H]+;,546.355,546.356,-1.8303,964,986,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
320,1.237,1,LysoPC 20:4 [M+H]+;,544.339,544.3403,-2.3882,910,929,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
321,1.241,1,LysoPC 22:6 [M+H]+;,568.339,568.3403,-2.2874,711,740,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
327,1.262,1,LysoPC 15:0 [M+H]+;,482.323,482.3247,-3.5246,936,965,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
331,1.279,1,LysoPC 20:5 [M+H]+;,542.321,542.3247,-6.8225,40,1000,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
333,1.287,1,LysoPC 18:2 [M+H]+;,520.339,520.3403,-2.4984,905,910,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
334,1.291,1,LysoPC 18:3 [M+H]+;,518.321,518.3247,-7.1384,56,994,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
340,1.312,1,LysoPE 18:2 [M+H]+;,478.293,478.2934,-0.8363,237,1000,0,,false,true,LipiDex_HCD_Acetate.msp,337.2737 | 460.2823 | 
341,1.316,1,LysoPE 20:4 [M+H]+;,502.292,502.2934,-2.7872,416,1000,0,,false,true,LipiDex_HCD_Acetate.msp,361.2737 | 484.2823 | 
344,1.327,1,LysoPC 16:1 [M+H]+;,494.324,494.3247,-1.4161,967,995,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
348,1.341,1,LysoPC 16:0 [M+H]+;,496.339,496.3403,-2.6192,976,990,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
356,1.371,1,LysoPC 22:5 [M+H]+;,570.354,570.356,-3.5066,944,964,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
358,1.379,1,LysoPC 20:4 [M+H]+;,544.339,544.3403,-2.3882,985,991,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
360,1.386,1,PC[OH] OH-20:1_18:3 [M+Ac-H]-;,884.593,884.6017,-9.8349,85,1000,100,PC[OH] OH-20:1_18:3 [M+Ac-H]-(100),true,true,LipiDex_HCD_Hydroxy.msp,168.0428 | 224.0698 | 277.2173 | 325.2748 | 810.5626 | 
365,1.404,1,PC 18:3_18:1 [M+Ac-H]-;,840.567,840.5755,-10.1121,78,1000,0,,true,true,LipiDex_HCD_Acetate.msp,168.0431 | 224.0693 | 277.2173 | 281.2486 | 766.5392 | 
368,1.416,1,LysoPC 20:5 [M+H]+;,542.321,542.3247,-6.8225,62,995,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
373,1.436,1,LysoPC 18:2 [M+H]+;,520.338,520.3403,-4.4202,981,991,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
374,1.439,1,LysoPC 18:3 [M+H]+;,518.321,518.3247,-7.1384,47,997,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
376,1.446,1,LysoPC 20:3 [M+H]+;,546.355,546.356,-1.8303,912,916,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
377,1.449,1,PE-NMe2 17:1_18:3 [M-H]-;,752.514,752.523,-11.9598,104,1000,0,,true,true,LipiDex_HCD_Acetate.msp,78.9591 | 168.0431 | 267.233 | 277.2173 | 
380,1.461,1,LysoPC 18:1 [M+H]+;,522.354,522.356,-3.8288,781,784,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
382,1.468,1,LysoPC 17:1 [M+H]+;,508.338,508.3403,-4.5245,911,990,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
388,1.49,1,LysoPC 16:0 [M+H]+;,496.339,496.3403,-2.6192,910,916,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
394,1.512,1,LysoPC 22:5 [M+H]+;,570.354,570.356,-3.5066,978,998,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
398,1.528,1,PC[OH] OH-20:1_18:3 [M+Ac-H]-;,884.592,884.6017,-10.9654,83,1000,100,PC[OH] OH-20:1_18:3 [M+Ac-H]-(100),true,true,LipiDex_HCD_Hydroxy.msp,168.0428 | 224.0698 | 277.2173 | 325.2748 | 810.5626 | 
400,1.535,1,LysoPC 20:4 [M+H]+;,544.336,544.3403,-7.8995,161,363,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
403,1.546,1,PC 18:3_18:1 [M+Ac-H]-;,840.567,840.5755,-10.1121,83,1000,0,,true,true,LipiDex_HCD_Acetate.msp,168.0431 | 224.0693 | 277.2173 | 281.2486 | 766.5392 | 
413,1.583,1,LysoPC 18:3 [M+H]+;,518.321,518.3247,-7.1384,54,994,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
414,1.586,1,PE-NMe2 17:1_18:3 [M-H]-;,752.514,752.523,-11.9598,128,1000,0,,true,true,LipiDex_HCD_Acetate.msp,78.9591 | 168.0431 | 267.233 | 277.2173 | 
415,1.589,1,LysoPC 20:3 [M+H]+;,546.355,546.356,-1.8303,982,990,0,,true,true,LipiDex_HCD_Acetate.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
