Checked,Ion,Charge,Molecular Weight,m/z,RT [min],FWHM [min],# MI,Area,Parent Area [%],Study File ID
FALSE,[M+H]+1,1,875.79302,876.80029,18.034,0.136,3,536082066.2,100,F1
FALSE,[M+H]+1,1,873.77727,874.78455,17.361,0.106,3,510312228.2,100,F1
FALSE,[M+H]+1,1,875.79314,876.80042,17.982,0.128,5,506429030.5,100,F7
FALSE,[M+H]+1,1,873.77684,874.78412,17.367,0.113,4,503420239.6,100,F9
FALSE,[M+H]+1,1,875.79271,876.79999,18.023,0.127,4,501256603.1,100,F8
FALSE,[M+H]+1,1,875.79271,876.79999,18.032,0.12,4,494046082.1,100,F9
FALSE,[M+H]+1,1,873.77715,874.78442,17.351,0.115,4,488062360.2,100,F8
FALSE,[M+H]+1,1,873.77764,874.78491,17.315,0.125,3,475645638.1,100,F7
FALSE,[M+H]+1,1,757.56084,758.56812,8.945,0.103,6,385316515.2,100,F7
FALSE,[M+H]+1,1,785.59209,786.59937,9.906,0.096,6,377700395.4,100,F9
FALSE,[M+H]+1,1,785.59203,786.5993,9.894,0.104,6,374644498.6,100,F8
FALSE,[M+H]+1,1,785.59197,786.59924,9.853,0.1,6,374287427.9,100,F7
FALSE,[M+H]+1,1,720.49785,721.50513,9.576,0.175,5,352633712.6,100,F3
FALSE,[M+H]+1,1,871.76158,872.76886,16.675,0.131,5,309849928.6,100,F1
FALSE,[M+H]+1,1,662.4453,663.45258,9.859,0.088,6,273224613.4,100,F3
FALSE,[M+H]+1,1,847.76189,848.76917,17.31,0.193,5,265269933.1,100,F9
FALSE,[M+H]+1,1,847.76189,848.76917,17.305,0.205,4,264684859.1,100,F8
FALSE,[M+H]+1,1,871.76183,872.7691,16.655,0.126,4,261224161.5,100,F8
FALSE,[M+H]+1,1,759.57671,760.58398,9.711,0.108,6,250791834.4,100,F1
FALSE,[M+H]+1,1,759.57665,760.58392,9.679,0.111,6,235109886.3,100,F7
FALSE,[M+H]+1,1,759.57634,760.58362,9.719,0.11,6,234666212.4,100,F8
FALSE,[M+H]+1,1,759.57652,760.5838,9.729,0.109,6,234272649.5,100,F9
FALSE,[M+H]+1,1,871.76171,872.76898,16.61,0.134,2,233600126.5,100,F7
FALSE,[M+H]+1,1,871.7614,872.76868,16.664,0.131,2,229940854.2,100,F9
FALSE,[M+H]+1,1,781.56096,782.56824,8.805,0.093,6,226089620,100,F1
FALSE,[M+H]+1,1,849.77745,850.78473,18.074,0.109,5,221934431.8,100,F1
FALSE,[M+H]+1,1,781.56059,782.56787,8.786,0.091,6,214112998.2,100,F7
FALSE,[M+H]+1,1,781.56053,782.56781,8.819,0.088,6,213191635.1,100,F8
FALSE,[M+H]+1,1,849.77764,850.78491,18.055,0.118,4,212949820.6,100,F8
FALSE,[M+H]+1,1,901.80718,902.81445,18.062,0.197,2,205703940.5,100,F8
FALSE,[M+H]+1,1,781.56059,782.56787,8.823,0.093,6,205628080.1,100,F9
FALSE,[M+H]+1,1,849.7777,850.78497,18.013,0.113,3,189015176.7,100,F7
FALSE,[M+H]+1,1,847.76183,848.7691,17.292,0.117,5,183652985.2,100,F1
FALSE,[M+H]+1,1,849.77727,850.78455,18.054,0.112,3,182286415.5,100,F9
FALSE,[M+H]+1,1,786.59465,787.60193,9.884,0.095,5,169835418.9,100,F1
FALSE,[M+H]+1,1,664.45073,665.45801,9.534,0.145,4,169202619,100,F3
FALSE,[M+H]+1,1,758.5631,759.57037,8.969,0.099,5,168971320.5,100,F1
FALSE,[M+H]+1,1,899.79088,900.79816,17.359,0.156,3,163216816,100,F9
FALSE,[M+H]+1,1,749.54949,750.55676,9.595,0.18,4,157793212.7,100,F3
FALSE,[M+H]+1,1,898.78264,899.78992,17.308,0.166,3,156529749.4,100,F7
