Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,Filter Status,Plasma_PS.raw (F1),PDH_Blank_Neg.raw (F2),PDH_Blank_Pos_171003103943.raw (F3),Plasma_Neg_1.raw (F4),Plasma_Neg_2.raw (F5),Plasma_Neg_3.raw (F6),Plasma_Pos_1.raw (F7),Plasma_Pos_2.raw (F8),Plasma_Pos_3.raw (F9),
0.541,448.30563,-,71024.06787,,,2,,58792.07461,596.1089931,0.0,54474.48862,71024.06787,57846.22028,0.0,0.0,0.0,
0.551,449.25342,-,23511.01546,,,3,,19833.94194,386.2394548,0.0,21214.45883,23511.01546,21259.4905,0.0,0.0,0.0,
0.552,244.90723,-,28994.13379,,,4,,22152.04946,752.7151861,0.0,25791.83212,28994.13379,26885.51352,0.0,0.0,0.0,
0.552,366.8996,-,14628.07526,,,3,,4153.645967,271.928819,0.0,14003.78827,14628.07526,13321.22576,0.0,0.0,0.0,
0.558,498.28833,-,15443.79451,,,2,,9692.70594,520.6911483,0.0,13165.99124,15443.79451,13160.32956,0.0,0.0,0.0,
0.561,367.15723,-,552258.1503,,,4,,387398.0975,8632.343918,0.0,510569.8524,552258.1503,543467.2748,0.0,0.0,0.0,
0.562,397.20395,-,80564.99015,,,2,,55360.91363,532.1226935,0.0,73957.62095,80564.99015,79724.47108,0.0,0.0,0.0,
0.563,369.17288,-,325756.1204,,,4,Adduct of existing peak,204651.4962,4476.583935,0.0,277025.4874,325756.1204,291483.893,0.0,0.0,0.0,
0.569,293.17834,-,104260.8806,,,4,,56110.14672,29549.11478,0.0,93003.13535,103954.2749,104260.8806,0.0,0.0,0.0,
0.574,453.34116,+,16554.42305,,,3,,16554.42305,0.0,1509.953209,0.0,0.0,0.0,10027.32414,12350.52612,11723.51243,
0.576,265.147,-,182022.7701,,,5,,92863.42573,57231.3269,0.0,147159.5492,170838.4549,182022.7701,0.0,0.0,0.0,
0.577,721.50598,+,911939.9025,,,4,Adduct of existing peak,93323.82746,0.0,4720.810662,0.0,0.0,0.0,911939.9025,87219.42301,80464.17836,
0.584,782.56659,+,64458.12814,,,2,,63015.2882,0.0,2118.468628,0.0,0.0,0.0,2305.598201,64458.12814,64035.3893,
0.587,570.91602,+,115477.2078,,,4,,64733.58612,0.0,22093.85233,0.0,0.0,0.0,115477.2078,104098.2214,46724.37162,
0.588,663.45239,+,2828548.698,,,3,,213378.5272,0.0,13567.64821,0.0,0.0,0.0,2828548.698,296172.3172,187226.4212,
0.628,433.00323,+,1177696.279,,,5,,1177696.279,0.0,245008.2572,0.0,0.0,0.0,310201.2704,277946.7526,255991.2143,
0.631,701.49225,+,41115.73512,,,2,,28995.25664,0.0,2816.186868,0.0,0.0,0.0,41115.73512,37208.30063,29453.77645,
0.635,475.32443,+,31210.98962,,,2,Adduct of existing peak,23549.63693,0.0,4325.772961,0.0,0.0,0.0,13867.15165,24317.79965,31210.98962,
0.639,637.00195,+,171142.6725,,,4,,171142.6725,34741.95753,21209.32492,29915.20021,27380.5067,27198.09142,162533.6141,126836.0708,153284.5486,
0.644,329.19257,+,28824.30815,,,2,,28824.30815,8949.374651,1553.75287,12561.9134,14480.65936,14788.6686,1640.135225,1907.323373,1555.542626,
0.65,448.97723,+,586534.3853,,,5,Adduct of existing peak,586534.3853,0.0,100113.0428,0.0,0.0,0.0,111712.1314,115509.0072,110692.6855,
0.658,419.16721,+,56403.4253,,,2,,56403.4253,0.0,7814.466798,0.0,0.0,0.0,19392.50394,19754.91753,18873.14316,
0.667,464.95135,+,203396.2627,,,5,Adduct of existing peak,203396.2627,0.0,35853.26744,0.0,0.0,0.0,36264.55702,40069.9252,39000.58331,
