Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,Yeast_PS.raw (F1),JAS_Blank_Neg.raw (F2),JAS_Blank_Pos.raw (F3),Yeast_Neg_1.raw (F4)+Yeast_Pos_1.raw (F7),Yeast_Neg_2.raw (F5)+Yeast_Pos_2.raw (F8),Yeast_Neg_3.raw (F6)+Yeast_Pos_3.raw (F9),
0.537,509.21729,+,665370.5786,,,4,665370.5786,0.0,5247.110994,182291.7198,134986.2021,153966.6366,
0.546,582.25867,+,220613.8714,,,3,220613.8714,0.0,198.2446003,139045.5688,112397.5712,108553.3168,
0.557,791.26459,-,196088.6062,,,3,106588.6232,204.1574594,0.0,196088.6062,155009.669,145079.2443,
0.559,377.08423,-,3894831.338,,,3,2708919.852,1557.753448,0.0,3894831.338,3780296.382,3422031.714,
0.559,500.32083,+,15961.6941,,,3,7859.191782,0.0,1888.713761,15961.6941,14679.9975,15299.28558,
0.563,612.23267,+,346772.3059,,,2,346772.3059,0.0,220.3961461,317329.1689,132236.7793,189065.3168,
0.566,509.8848,+,73766.82936,,,3,62662.31271,0.0,211.2765609,73766.82936,51053.69951,63361.80207,
0.567,277.12177,-,260470.1365,,,3,177261.8559,540.0364626,0.0,167439.5563,235416.3468,260470.1365,
0.568,423.17908,+,366714.534,,,3,366714.534,451.3181676,3231.176497,105280.9804,134456.8612,138326.4187,
0.569,449.14868,-,6666622.026,,,10,6666622.026,1644.933911,3373.911696,4172251.31,3475509.166,3385509.591,
0.574,453.34302,+,87773.00095,,,4,87773.00095,0.0,549.8768838,68534.4436,70839.57313,72239.56955,
0.575,792.59491,+,156672.7372,,,3,153425.2021,0.0,389.7933588,156672.7372,126518.3546,152111.2083,
0.576,566.427,+,130485.3461,LysoPC 21:0,LysoPC,4,123263.5855,0.0,1163.608462,130485.3461,117487.3814,129224.3109,
0.578,437.17825,+,275968.0386,,,3,58681.28251,0.0,709.1211909,275968.0386,246397.5348,259416.0492,
0.578,679.51093,+,215779.3416,,,2,212171.3729,0.0,424.9856474,198240.0421,175934.328,215779.3416,
0.58,682.42322,+,15088.75085,,,2,10171.60494,0.0,1899.350787,14772.16727,12974.47021,15088.75085,
0.581,638.3974,+,19363.28916,,,2,19363.28916,0.0,3924.485522,16978.07649,17122.49345,17624.23191,
0.582,438.16858,+,2914036.752,,,4,2914036.752,408.1630306,800.6606853,1322650.632,921751.5285,1223740.218,
0.582,320.09109,-,154066.8952,,,4,96844.91623,659.0226326,0.0,154066.8952,146946.1535,145328.6726,
0.582,550.34302,+,23229.77047,,,2,23229.77047,0.0,5188.322535,15985.63442,13418.96763,13736.02295,
0.582,418.12769,+,18750.01471,,,3,17992.20108,0.0,360.4070212,16000.0554,18750.01471,18437.09285,
0.584,1180.72644,+,13026.56135,,,2,12449.651,0.0,1305.59419,13026.56135,11108.46149,10627.75323,
0.585,370.13931,-,1859126.328,,,4,1051911.891,610.6324983,0.0,1859126.328,1791913.047,1762764.285,
0.586,1092.67383,+,19611.15006,,,2,18516.49752,0.0,3478.395584,19611.15006,15387.99102,17226.84441,
0.586,552.29431,+,15760.92927,,,3,15760.92927,0.0,1090.616064,12207.86661,14139.77163,15244.35107,
0.587,566.30872,+,56917.64614,,,4,56917.64614,0.0,1648.451345,25675.89813,32155.14455,36394.03529,
0.59,583.22211,-,119865.7779,,,2,100264.775,346.9462192,763.743084,119865.7779,100261.3613,67270.84573,
0.592,828.51703,+,63106.22114,,,2,63106.22114,0.0,8882.494607,55236.36753,58880.16556,49597.00905,
0.592,503.30518,+,54115.95935,,,2,27867.67148,0.0,5991.492161,54115.95935,37765.76211,40002.64807,
0.592,916.56982,+,46800.61195,,,2,46514.02349,0.0,8590.261638,42675.18506,34344.61645,46800.61195,
0.593,549.07379,-,89712.60093,,,3,89712.60093,451.1109013,0.0,10375.48345,9826.081534,18948.11554,
0.596,476.30573,+,357577.6,,,2,357577.6,0.0,26917.63874,166184.444,126952.2976,134200.0394,
0.597,415.25375,+,112803.64,,,2,112803.64,0.0,10455.75598,39330.80656,29595.8026,42477.51182,
0.599,393.15463,-,52856.43811,,,3,38242.86024,317.3936927,0.0,49593.57292,51661.23211,52856.43811,
0.6,471.1557,-,108158.2956,,,3,64618.90842,285.8365155,0.0,108158.2956,99822.79287,101187.2989,
0.603,424.17926,+,100892.3001,,,2,100892.3001,0.0,2542.605149,55087.62608,62139.85497,44144.03063,
0.606,306.07568,-,247073.0974,,,5,247073.0974,607.9394179,1384.611899,96253.51242,123611.7417,131462.8055,
0.611,647.5321,+,27689.42184,,,3,27689.42184,0.0,747.6785933,16239.07443,16127.72569,14325.87444,
0.612,512.20587,+,84644.58213,,,4,84644.58213,0.0,1359.71753,70712.59206,70762.93664,62348.36096,
0.622,486.20148,-,123479.4297,,,3,86678.48226,324.5427204,0.0,113421.5674,123479.4297,100652.1792,
0.623,473.1463,+,224278.6314,,,2,222542.1047,0.0,859.1884718,224278.6314,94064.98583,120986.7815,
0.625,656.27588,+,111409.3079,,,8,111409.3079,360.1645959,3796.433926,66292.27314,65537.52035,68034.15328,
0.631,642.2594,+,206449.9367,,,5,206449.9367,790.8458876,3143.215515,56142.47611,61592.94442,72918.79547,
0.631,662.33447,+,37462.48067,,,3,37462.48067,0.0,162.8904557,19822.74849,30032.79358,30133.56056,
0.642,642.23621,+,33925.73549,,,2,33925.73549,0.0,179.990402,28574.67956,30966.12188,28372.52756,
0.65,550.16272,+,42130.36502,,,3,42130.36502,0.0,184.1116195,29312.57395,40100.95638,30808.71309,
0.652,698.1795,+,131223.9127,,,7,131223.9127,370.9482285,232.0596983,74729.24879,77815.63427,89578.02685,
0.653,421.1839,+,110337.9227,,,2,110337.9227,0.0,3027.378964,16611.3306,12393.22764,17108.85994,
