Retention Time (min),Quant Ion,Polarity,Area (max),Identification,Lipid Class,Features Found,Filter Status,Yeast_PS.raw (F1),JAS_Blank_Neg.raw (F2),JAS_Blank_Pos.raw (F3),Yeast_Neg_1.raw (F4),Yeast_Neg_2.raw (F5),Yeast_Neg_3.raw (F6),Yeast_Pos_1.raw (F7),Yeast_Pos_2.raw (F8),Yeast_Pos_3.raw (F9),
0.537,509.21729,+,665370.5786,,,4,,665370.5786,0.0,5247.110994,0.0,0.0,0.0,182291.7198,134986.2021,153966.6366,
0.543,433.15298,+,94283.5148,,,3,Adduct of existing peak,42442.81273,0.0,474.5011875,0.0,0.0,0.0,94283.5148,91020.3277,85687.21088,
0.546,582.25867,+,220613.8714,,,3,,220613.8714,0.0,198.2446003,0.0,0.0,0.0,139045.5688,112397.5712,108553.3168,
0.554,445.16135,+,65819.17555,,,3,Adduct of existing peak,58759.74958,0.0,789.1416572,0.0,0.0,0.0,63281.5651,65819.17555,45187.61023,
0.557,791.26459,-,196088.6062,,,3,,106588.6232,204.1574594,0.0,196088.6062,155009.669,145079.2443,0.0,0.0,0.0,
0.558,405.16824,+,326959.8925,,,3,Adduct of existing peak,261729.8475,0.0,222.9131082,0.0,0.0,0.0,326959.8925,249542.3425,307305.5041,
0.558,341.1076,-,74046.49683,,,3,Adduct of existing peak,44936.55093,8617.226819,0.0,74046.49683,68989.90988,56150.20448,0.0,0.0,0.0,
0.559,377.08423,-,3894831.338,,,3,,2708919.852,1557.753448,0.0,3894831.338,3780296.382,3422031.714,0.0,0.0,0.0,
0.559,500.32083,+,15961.6941,,,3,,7859.191782,0.0,1888.713761,0.0,0.0,0.0,15961.6941,14679.9975,15299.28558,
0.563,612.23267,+,346772.3059,,,2,,346772.3059,0.0,220.3961461,0.0,0.0,0.0,317329.1689,132236.7793,189065.3168,
0.564,939.63965,-,56059.9562,,,3,Adduct of existing peak,29363.49959,385.7520879,0.0,56059.9562,39446.81153,47915.21144,0.0,0.0,0.0,
0.566,447.13312,-,331868.2284,,,11,Adduct of existing peak,331868.2284,86374.40593,27000.24785,182145.2037,322055.2112,188288.764,66445.16762,59289.14856,57078.95755,
0.566,509.8848,+,73766.82936,,,3,,62662.31271,0.0,211.2765609,0.0,0.0,0.0,73766.82936,51053.69951,63361.80207,
0.567,277.12177,-,260470.1365,,,3,,177261.8559,540.0364626,0.0,167439.5563,235416.3468,260470.1365,0.0,0.0,0.0,
0.568,423.17908,+,366714.534,,,3,,366714.534,451.3181676,3231.176497,105280.9804,134456.8612,138326.4187,55698.36514,47343.64242,56626.84317,
0.569,449.14868,-,6666622.026,,,10,,6666622.026,1644.933911,3373.911696,3024177.559,2065992.251,2783204.109,4172251.31,3475509.166,3385509.591,
