MS2 ID,Retention Time (min),Rank,Identification,Precursor Mass,Library Mass,Delta m/z,Dot Product,Reverse Dot Product,Purity,Spectral Components,Optimal Polarity,LipiDex Spectrum,Library,Potential Fragments
155,0.627,1,LysoPI 10:0 [M-H]-;,487.198,487.1944,7.3892,3,905,0,,true,true,LipiDex_HCD_Acetate.msp,78.9591 | 152.9958 | 171.0064 | 171.1391 | 223.0013 | 241.0119 | 315.0487 | 333.0619 | 
172,0.689,1,LysoPI 12:0 [M-H]-;,515.226,515.2257,0.5823,921,975,100,LysoPI 12:0 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 152.9958 | 171.0064 | 199.1704 | 223.0013 | 241.0119 | 315.0487 | 333.0619 | 
179,0.714,1,LysoPC 10:0 [M+Ac-H]-;,470.251,470.2519,-1.9139,601,616,100,LysoPC 10:0 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 171.1391 | 224.0693 | 241.0721 | 396.2157 | 
194,0.773,1,LysoPC 12:0 [M+Ac-H]-;,498.283,498.2832,-0.4014,920,921,100,LysoPC 12:0 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 199.1704 | 224.0693 | 241.0721 | 424.247 | 
197,0.785,1,LysoPI 16:1 [M-H]-;,569.272,569.2727,-1.2296,879,879,100,LysoPI 16:1 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 241.0119 | 253.2173 | 315.0487 | 333.0619 | 
198,0.788,1,LysoPS 16:1 [M-H]-;,494.252,494.2519,0.2023,944,944,0,,true,true,LipiDex_HCD_Acetate.msp,78.9591 | 152.9958 | 171.0064 | 407.2204 | 
204,0.81,1,LysoPI 14:0 [M-H]-;,543.256,543.257,-1.8407,732,874,100,LysoPI 14:0 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 227.2017 | 241.0119 | 315.0487 | 333.0619 | 
210,0.833,1,LysoPC 14:1 [M+Ac-H]-;,524.298,524.2988,-1.5258,898,901,100,LysoPC 14:1 [M+Ac-H]-(100),true,true,LipiDex_HCD_Acetate.msp,59.0139 | 78.9591 | 152.9958 | 224.0693 | 225.186 | 241.0721 | 450.2626 | 
224,0.885,1,LysoPI 20:4 [M-H]-;,619.287,619.2883,-2.0992,937,990,100,LysoPI 20:4 [M-H]-(100),true,true,LipiDex_HCD_ULCFA.msp,78.9596 | 152.9954 | 171.0065 | 223.0018 | 241.0119 | 303.233 | 315.0487 | 333.0597 | 
235,0.928,1,LysoPS 16:1 [M-H]-;,494.251,494.2519,-1.8209,665,665,0,,true,true,LipiDex_HCD_Acetate.msp,78.9591 | 152.9958 | 171.0064 | 407.2204 | 
248,0.973,1,LysoPI 16:0 [M-H]-;,571.291,571.2883,4.7262,300,835,100,LysoPI 16:0 [M-H]-(100),true,true,LipiDex_HCD_Acetate.msp,78.9591 | 152.9958 | 171.0064 | 223.0013 | 241.0119 | 255.233 | 315.0487 | 333.0619 | 
