MS2 ID,Retention Time (min),Rank,Identification,Precursor Mass,Library Mass,Delta m/z,Dot Product,Reverse Dot Product,Purity,Spectral Components,Optimal Polarity,LipiDex Spectrum,Library,Potential Fragments
125,0.58,1,Ether-PC O-16:0_22:6 [M+H]+;,792.596,792.5907,6.6869,5,1000,0,,false,true,Coon_Lab_HCD_Acetate_20171009.msp,184.0733 | 
148,0.666,1,LysoPC 10:0 [M+H]+;,412.246,412.2464,-0.9703,874,896,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
173,0.764,1,LysoPC 12:0 [M+H]+;,440.278,440.2777,0.6814,730,733,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
189,0.828,1,LysoPC 14:1 [M+H]+;,466.293,466.2934,-0.8578,744,747,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
233,0.986,1,LysoPC 14:0 [M+H]+;,468.308,468.309,-2.1353,728,731,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
253,1.061,1,LysoPC 16:1 [M+H]+;,494.324,494.3247,-1.4161,729,732,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
259,1.083,1,LysoPE 16:1 [M+H]+;,452.276,452.2777,-3.7588,614,1000,0,,false,true,Coon_Lab_HCD_Acetate_20171009.msp,311.2581 | 434.2666 | 
271,1.129,1,LysoPC 14:0 [M+H]+;,468.308,468.309,-2.1353,959,994,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
289,1.195,1,LysoPE 20:4 [M+H]+;,502.291,502.2934,-4.7781,788,1000,0,,false,true,Coon_Lab_HCD_Acetate_20171009.msp,361.2737 | 484.2823 | 
291,1.202,1,LysoPC 16:1 [M+H]+;,494.323,494.3247,-3.439,978,988,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
296,1.22,1,LysoPE 16:1 [M+H]+;,452.276,452.2777,-3.7588,992,994,0,,false,true,Coon_Lab_HCD_Acetate_20171009.msp,311.2581 | 434.2666 | 
297,1.224,1,LysoPC 18:4 [M+H]+;,516.305,516.309,-7.7473,58,995,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
308,1.264,1,LysoPC 20:4 [M+H]+;,544.339,544.3403,-2.3882,749,752,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
324,1.328,1,LysoPC 17:1 [M+H]+;,508.34,508.3403,-0.5902,524,995,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
326,1.337,1,LysoPC 16:1 [M+H]+;,494.324,494.3247,-1.4161,959,968,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
327,1.341,1,LysoPE 20:4 [M+H]+;,502.293,502.2934,-0.7963,960,1000,0,,false,true,Coon_Lab_HCD_Acetate_20171009.msp,361.2737 | 484.2823 | 
329,1.348,1,LysoPE 22:5 [M+H]+;,528.309,528.309,0.0,978,1000,0,,false,true,Coon_Lab_HCD_Acetate_20171009.msp,387.2894 | 510.2979 | 
348,1.424,1,LysoPC 16:0 [M+H]+;,496.34,496.3403,-0.6044,723,737,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
361,1.478,1,LysoPC 17:1 [M+H]+;,508.34,508.3403,-0.5902,630,990,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
363,1.484,1,LysoPC 16:1 [M+H]+;,494.324,494.3247,-1.4161,918,939,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
380,1.551,1,LysoPE 16:0 [M+H]+;,454.293,454.2934,-0.8805,976,1000,0,,false,true,Coon_Lab_HCD_Acetate_20171009.msp,313.2737 | 436.2823 | 
381,1.557,1,LysoPC 16:0 [M+H]+;,496.34,496.3403,-0.6044,937,944,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
388,1.583,1,LysoPC 18:1 [M+H]+;,522.355,522.356,-1.9144,729,732,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
393,1.603,1,LysoPE 18:1 [M+H]+;,480.308,480.309,-2.082,980,1000,0,,false,true,Coon_Lab_HCD_Acetate_20171009.msp,339.2894 | 462.2979 | 
401,1.634,1,LysoPC 18:3 [M+H]+;,518.322,518.3247,-5.2091,52,995,0,,true,true,Coon_Lab_HCD_Acetate_20171009.msp,60.0808 | 86.0964 | 104.107 | 124.9998 | 184.0733 | 
