Checked,Ion,Charge,Molecular Weight,m/z,RT [min],FWHM [min],# MI,Area,Parent Area [%],Study File ID
FALSE,[M+H]+1,1,729.52965,730.53693,8.038,0.071,6,199599609,93.124,F1
FALSE,[M+H]+1,1,729.53002,730.53729,8.044,0.073,6,186796990.5,94.902,F9
FALSE,[M+H]+1,1,729.52941,730.53668,8.035,0.073,6,170222905.1,94.152,F8
FALSE,[M+H]+1,1,729.52977,730.53705,8.034,0.074,6,168774693.2,94.236,F7
FALSE,[M+H]+1,1,757.56151,758.56879,8.825,0.085,6,162516770.4,93.646,F1
FALSE,[M+H]+1,1,757.56133,758.5686,8.825,0.082,5,151311061.2,94.63,F9
FALSE,[M+H]+1,1,757.56096,758.56824,8.82,0.083,6,148417147.7,94.555,F7
FALSE,[M+H]+1,1,757.56078,758.56805,8.819,0.084,5,146591940.5,94.536,F8
FALSE,[M+H]+1,1,731.54619,732.55347,8.76,0.072,5,111776257.2,93.557,F1
FALSE,[M+H]+1,1,847.76213,848.76941,17.211,0.117,5,104744955.6,100,F1
FALSE,[M+H]+1,1,731.54558,732.55286,8.755,0.072,6,104367462.2,94.648,F8
FALSE,[M+H]+1,1,731.54582,732.5531,8.755,0.071,6,103560569.9,94.493,F7
FALSE,[M+H]+1,1,731.5457,732.55298,8.761,0.076,6,101767549.3,94.519,F9
FALSE,[M+H]+1,1,847.76152,848.7688,17.198,0.106,5,92032864.17,100,F7
FALSE,[M+H]+1,1,847.76152,848.7688,17.204,0.103,5,91879133.62,100,F8
FALSE,[M+H]+1,1,759.57695,760.58423,9.646,0.084,6,90852670.76,90.371,F1
FALSE,[M+H]+1,1,819.73076,820.73804,16.398,0.096,5,89423574.38,100,F1
FALSE,[M+H]+1,1,551.59966,552.60693,13.469,0.175,5,86275170.5,95.626,F1
FALSE,[M+H]+1,1,759.57659,760.58386,9.639,0.085,6,85977513.31,91.098,F8
FALSE,[M+H]+1,1,845.74578,846.75305,16.391,0.096,5,85604285.31,100,F1
FALSE,[M+H]+1,1,759.57713,760.58441,9.639,0.086,6,85319965.51,91.544,F7
