Name,Base,Formula,Enabled
OH-10:0,Hydroxy,C10H19O3,false
OH-12:0,Hydroxy,C12H23O3,false
OH-14:1,Hydroxy,C14H25O3,true
OH-14:0,Hydroxy,C14H27O3,true
OH-15:1,Hydroxy,C15H27O3,false
OH-15:0,Hydroxy,C15H29O3,false
OH-16:1,Hydroxy,C16H29O3,true
OH-16:0,Hydroxy,C16H31O3,true
OH-17:2,Hydroxy,C17H29O3,true
OH-17:1,Hydroxy,C17H31O3,true
OH-17:0,Hydroxy,C17H33O3,true
OH-18:4,Hydroxy,C18H27O3,true
OH-18:3,Hydroxy,C18H29O3,true
OH-18:2,Hydroxy,C18H31O3,true
OH-18:1,Hydroxy,C18H33O3,true
OH-18:0,Hydroxy,C18H35O3,true
OH-19:0,Hydroxy,C19H37O3,true
OH-20:5,Hydroxy,C20H29O3,true
OH-20:4,Hydroxy,C20H31O3,true
OH-20:3,Hydroxy,C20H33O3,true
OH-20:2,Hydroxy,C20H35O3,true
OH-20:1,Hydroxy,C20H37O3,true
OH-20:0,Hydroxy,C20H39O3,true
OH-21:0,Hydroxy,C21H41O3,true
OH-22:6,Hydroxy,C22H31O3,true
OH-22:5,Hydroxy,C22H33O3,true
OH-22:4,Hydroxy,C22H35O3,true
OH-22:3,Hydroxy,C22H37O3,true
OH-22:2,Hydroxy,C22H39O3,true
OH-22:1,Hydroxy,C22H41O3,true
OH-22:0,Hydroxy,C22H43O3,true
OH-23:0,Hydroxy,C23H45O3,true
OH-24:1,Hydroxy,C24H45O3,true
OH-24:0,Hydroxy,C24H47O3,true
OH-25:0,Hydroxy,C25H49O3,true
OH-26:0,Hydroxy,C26H51O3,true
2:0,Alkyl,C2H3O2,false
3:0,Alkyl,C3H5O2,false
4:0,Alkyl,C4H7O2,false
5:0,Alkyl,C5H9O2,false
6:0,Alkyl,C6H11O2,false
7:0,Alkyl,C7H13O2,false
8:0,Alkyl,C8H15O2,false
9:0,Alkyl,C9H17O2,false
10:2,Alkyl,C10H15O2,false
10:1,Alkyl,C10H17O2,false
10:0,Alkyl,C10H19O2,false
11:1,Alkyl,C11H19O2,false
11:0,Alkyl,C11H21O2,false
12:3,Alkyl,C12H17O2,false
12:2,Alkyl,C12H19O2,false
12:1,Alkyl,C12H21O2,false
12:0,Alkyl,C12H23O2,false
13:1,Alkyl,C13H23O2,false
13:0,Alkyl,C13H25O2,false
14:3,Alkyl,C14H21O2,false
14:2,Alkyl,C14H23O2,false
14:1,Alkyl,C14H25O2,true
14:0,Alkyl,C14H27O2,true
15:3,Alkyl,C15H23O2,false
15:2,Alkyl,C15H25O2,false
15:1,Alkyl,C15H27O2,false
15:0,Alkyl,C15H29O2,false
16:5,Alkyl,C16H21O2,false
16:4,Alkyl,C16H23O2,false
16:3,Alkyl,C16H25O2,false
16:2,Alkyl,C16H27O2,true
16:1,Alkyl,C16H29O2,true
16:0,Alkyl,C16H31O2,true
17:3,Alkyl,C17H27O2,true
17:2,Alkyl,C17H29O2,true
17:1,Alkyl,C17H31O2,true
17:0,Alkyl,C17H33O2,true
18:5,Alkyl,C18H25O2,true
18:4,Alkyl,C18H27O2,true
18:3,Alkyl,C18H29O2,true
18:2,Alkyl,C18H31O2,true
18:1,Alkyl,C18H33O2,true
18:0,Alkyl,C18H35O2,true
19:5,Alkyl,C19H27O2,true
19:4,Alkyl,C19H29O2,true
19:3,Alkyl,C19H31O2,true
19:2,Alkyl,C19H33O2,true
19:1,Alkyl,C19H35O2,true
19:0,Alkyl,C19H37O2,true
20:6,Alkyl,C20H27O2,true
20:5,Alkyl,C20H29O2,true
20:4,Alkyl,C20H31O2,true
20:3,Alkyl,C20H33O2,true
20:2,Alkyl,C20H35O2,true
20:1,Alkyl,C20H37O2,true
20:0,Alkyl,C20H39O2,true
21:5,Alkyl,C21H31O2,true
21:4,Alkyl,C21H33O2,true
21:3,Alkyl,C21H35O2,true
21:2,Alkyl,C21H37O2,true
21:1,Alkyl,C21H39O2,true
22:7,Alkyl,C22H29O2,true
21:0,Alkyl,C21H41O2,true
22:6,Alkyl,C22H31O2,true
22:5,Alkyl,C22H33O2,true
22:4,Alkyl,C22H35O2,true
22:3,Alkyl,C22H37O2,true
22:2,Alkyl,C22H39O2,true
22:1,Alkyl,C22H41O2,true
22:0,Alkyl,C22H43O2,true
23:6,Alkyl,C23H33O2,true
23:5,Alkyl,C23H35O2,true
23:4,Alkyl,C23H37O2,true
23:3,Alkyl,C23H39O2,true
23:2,Alkyl,C23H41O2,true
23:1,Alkyl,C23H43O2,true
23:0,Alkyl,C23H45O2,true
24:6,Alkyl,C24H35O2,true
24:5,Alkyl,C24H37O2,true
24:4,Alkyl,C24H39O2,true
24:3,Alkyl,C24H41O2,true
24:2,Alkyl,C24H43O2,true
24:1,Alkyl,C24H45O2,true
24:0,Alkyl,C24H47O2,true
25:6,Alkyl,C25H37O2,true
25:5,Alkyl,C25H39O2,true
25:4,Alkyl,C25H41O2,true
25:3,Alkyl,C25H43O2,true
25:2,Alkyl,C25H45O2,true
25:1,Alkyl,C25H47O2,true
26:7,Alkyl,C26H37O2,true
25:0,Alkyl,C25H49O2,true
26:6,Alkyl,C26H39O2,true
26:5,Alkyl,C26H41O2,true
26:4,Alkyl,C26H43O2,true
26:3,Alkyl,C26H45O2,true
26:2,Alkyl,C26H47O2,true
26:1,Alkyl,C26H49O2,true
26:0,Alkyl,C26H51O2,true
