Name,Base,Formula,Enabled
10:0,Alkyl,C10H19O2,true
11:0,Alkyl,C11H21O2,true
12:0,Alkyl,C12H23O2,true
13:0,Alkyl,C13H25O2,true
14:0,Alkyl,C14H27O2,true
14:1,Alkyl,C14H25O2,true
15:0,Alkyl,C15H29O2,true
15:1,Alkyl,C15H27O2,true
16:0,Alkyl,C16H31O2,true
16:1,Alkyl,C16H29O2,true
17:0,Alkyl,C17H33O2,true
17:1,Alkyl,C17H31O2,true
17:2,Alkyl,C17H29O2,true
18:0,Alkyl,C18H35O2,true
18:1,Alkyl,C18H33O2,true
18:2,Alkyl,C18H31O2,true
18:3,Alkyl,C18H29O2,true
18:4,Alkyl,C18H27O2,true
19:0,Alkyl,C19H37O2,true
2:0,Alkyl,C2H3O2,false
20:0,Alkyl,C20H39O2,true
20:1,Alkyl,C20H37O2,true
20:2,Alkyl,C20H35O2,true
20:3,Alkyl,C20H33O2,true
20:4,Alkyl,C20H31O2,true
20:5,Alkyl,C20H29O2,true
21:0,Alkyl,C21H41O2,true
22:0,Alkyl,C22H43O2,true
22:1,Alkyl,C22H41O2,true
22:2,Alkyl,C22H39O2,true
22:4,Alkyl,C22H35O2,true
22:5,Alkyl,C22H33O2,true
22:6,Alkyl,C22H31O2,true
23:0,Alkyl,C23H45O2,true
24:0,Alkyl,C24H47O2,true
24:1,Alkyl,C24H45O2,true
24:4,Alkyl,C24H39O2,true
25:0,Alkyl,C25H49O2,true
26:0,Alkyl,C26H51O2,true
26:1,Alkyl,C26H49O2,true
26:2,Alkyl,C26H47O2,true
3:0,Alkyl,C3H5O2,false
4:0,Alkyl,C4H7O2,false
5:0,Alkyl,C5H9O2,false
6:0,Alkyl,C6H11O2,false
7:0,Alkyl,C7H13O2,false
8:0,Alkyl,C8H15O2,false
9:0,Alkyl,C9H17O2,false
P-16:0,Plasmenyl,C16H31O1,true
P-18:0,Plasmenyl,C18H35O1,true
P-20:0,Plasmenyl,C20H39O1,true
P-18:1,Plasmenyl,C18H33O1,true
O-16:0,Ether,C16H33O1,true
O-18:0,Ether,C18H37O1,true
O-20:0,Ether,C20H41O1,true
10:1,Alkyl,C10H17O2,true
10:2,Alkyl,C10H15O2,true
11:1,Alkyl,C11H19O2,true
12:1,Alkyl,C12H21O2,true
12:2,Alkyl,C12H19O2,true
12:3,Alkyl,C12H17O2,true
13:1,Alkyl,C13H23O2,true
14:2,Alkyl,C14H23O2,true
14:3,Alkyl,C14H21O2,true
15:2,Alkyl,C15H25O2,true
15:3,Alkyl,C15H23O2,true
16:2,Alkyl,C16H27O2,true
16:3,Alkyl,C16H25O2,true
16:4,Alkyl,C16H23O2,true
16:5,Alkyl,C16H21O2,true
17:3,Alkyl,C17H27O2,true
18:5,Alkyl,C18H25O2,true
19:1,Alkyl,C19H35O2,true
19:2,Alkyl,C19H33O2,true
19:3,Alkyl,C19H31O2,true
19:4,Alkyl,C19H29O2,true
19:5,Alkyl,C19H27O2,true
20:6,Alkyl,C20H27O2,true
21:1,Alkyl,C21H39O2,true
21:2,Alkyl,C21H37O2,true
21:3,Alkyl,C21H35O2,true
21:4,Alkyl,C21H33O2,true
21:5,Alkyl,C21H31O2,true
22:3,Alkyl,C22H37O2,true
22:7,Alkyl,C22H29O2,true
23:1,Alkyl,C23H43O2,true
23:2,Alkyl,C23H41O2,true
23:3,Alkyl,C23H39O2,true
23:4,Alkyl,C23H37O2,true
23:5,Alkyl,C23H35O2,true
23:6,Alkyl,C23H33O2,true
24:2,Alkyl,C24H43O2,true
24:3,Alkyl,C24H41O2,true
24:5,Alkyl,C24H37O2,true
24:6,Alkyl,C24H35O2,true
25:1,Alkyl,C25H47O2,true
25:2,Alkyl,C25H45O2,true
25:3,Alkyl,C25H43O2,true
25:4,Alkyl,C25H41O2,true
25:5,Alkyl,C25H39O2,true
25:6,Alkyl,C25H37O2,true
26:3,Alkyl,C26H45O2,true
26:4,Alkyl,C26H43O2,true
26:5,Alkyl,C26H41O2,true
26:6,Alkyl,C26H39O2,true
26:7,Alkyl,C26H37O2,true
d14:0,Sphingoid,C11H23,true
d14:1,Sphingoid,C11H21,true
d15:0,Sphingoid,C12H25,true
d15:1,Sphingoid,C12H23,true
d16:0,Sphingoid,C13H27,true
d16:1,Sphingoid,C13H25,true
d16:2,Sphingoid,C13H23O0,true
d16:3,Sphingoid,C13H21O0,true
d17:0,Sphingoid,C14H29,true
d17:1,Sphingoid,C14H27,true
d17:2,Sphingoid,C14H25,true
d17:3,Sphingoid,C14H23O0,true
d18:0,Sphingoid,C15H31,true
d18:1,Sphingoid,C15H29,true
d18:2,Sphingoid,C15H27,true
d18:3,Sphingoid,C15H25,false
d18:4,Sphingoid,C15H23,true
d19:0,Sphingoid,C16H33,true
d19:1,Sphingoid,C16H31O0,true
