Name,Abbreviation,HeadGroup,Adducts,Sterol,Glycerol,Sphingoid,numFattyAcids,OptimalPolarity,FA1,FA2,FA3,FA4
Lyso phosphatidic acid,LysoPA,H2O4P1,[M+NH4]+;[M-H]-,FALSE,TRUE,FALSE,1,+/-,Alkyl,none,none,none
Lysophosphatidylcholine,LysoPC,C5H14N1O5P1,[M+H]+;[M+Ac-H]-,FALSE,TRUE,FALSE,1,+/-,Alkyl,none,none,none
Lysophosphatidylethanolamine,LysoPE,C2H8N1O5P1,[M+H]+;[M-H]-,FALSE,TRUE,FALSE,1,-,Alkyl,none,none,none
Lysophosphatidylinositol,LysoPI,C6H13O10P1,[M-H]-,FALSE,TRUE,FALSE,1,+/-,Alkyl,none,none,none
Phosphatidic acid,PA,H2O4P1,[M+NH4]+;[M-H]-,FALSE,TRUE,FALSE,2,-,Alkyl,Alkyl,none,none
Phosphatidylcholine,PC,C5H13N1O4P1,[M+H]+;[M+Ac-H]-,FALSE,TRUE,FALSE,2,-,Alkyl,Alkyl,none,none
Phosphatidylethanolamine,PE,C2H7N1O4P1,[M+H]+;[M-H]-,FALSE,TRUE,FALSE,2,-,Alkyl,Alkyl,none,none
Phosphatidylglycerol,PG,C3H8O6P1,[M+NH4]+;[M-H]-,FALSE,TRUE,FALSE,2,-,Alkyl,Alkyl,none,none
Phosphatidylserine,PS,C3H7N1O6P1,[M+H]+;[M-H]-,FALSE,TRUE,FALSE,2,-,Alkyl,Alkyl,none,none
Phosphatidylinositol,PI,C6H12O9P1,[M-H]-;[M+NH4]+,FALSE,TRUE,FALSE,2,-,Alkyl,Alkyl,none,none
