Name,Abbreviation,HeadGroup,Adducts,Sterol,Glycerol,Sphingoid,numFattyAcids,OptimalPolarity,FA1,FA2,FA3,FA4
Cholesteryl ester,CE,H0,[M+NH4]+,TRUE,FALSE,FALSE,1,+,d7-Alkyl,none,none,none
Diacylglycerol,DG,O1H1,[M+NH4]+,FALSE,TRUE,FALSE,2,+,Alkyl,d7-Alkyl,none,none
Lysophosphatidylcholine,LysoPC,C5H14N1O5P1,[M+H]+;[M+Ac-H]-,FALSE,TRUE,FALSE,1,+/-,d7-Alkyl,none,none,none
Lysophosphatidylethanolamine,LysoPE,C2H8N1O5P1,[M+H]+;[M-H]-,FALSE,TRUE,FALSE,1,-,d7-Alkyl,none,none,none
Monoacylglycerol,MG,O2H2,[M+NH4]+,FALSE,TRUE,FALSE,1,+,d7-Alkyl,none,none,none
Phosphatidic acid,PA,H2O4P1,[M+NH4]+;[M-H]-,FALSE,TRUE,FALSE,2,-,Alkyl,d7-Alkyl,none,none
Phosphatidylcholine,PC,C5H13N1O4P1,[M+H]+;[M+Ac-H]-,FALSE,TRUE,FALSE,2,-,Alkyl,d7-Alkyl,none,none
Phosphatidylethanolamine,PE,C2H7N1O4P1,[M+H]+;[M-H]-,FALSE,TRUE,FALSE,2,-,Alkyl,d7-Alkyl,none,none
Phosphatidylglycerol,PG,C3H8O6P1,[M+NH4]+;[M-H]-,FALSE,TRUE,FALSE,2,-,Alkyl,d7-Alkyl,none,none
Phosphatidylinositol,PI,C6H12O9P1,[M-H]-;[M+NH4]+;[M+H]+,FALSE,TRUE,FALSE,2,-,Alkyl,d7-Alkyl,none,none
Phosphatidylserine,PS,C3H7N1O6P1,[M+H]+;[M-H]-,FALSE,TRUE,FALSE,2,-,Alkyl,d7-Alkyl,none,none
Sphingomyelin,SM,C5H17N2O4P1,[M+H]+;[M+Ac-H]-;[M+FA-H]-,FALSE,FALSE,TRUE,2,NA,Sphingoid,d9-Alkyl,none,none
Triacylglycerol,TG,H0,[M+NH4]+;[M+Na]+,FALSE,TRUE,FALSE,3,+,Alkyl,d7-Alkyl,Alkyl,none
