Name,Base,Formula,Enabled
O-16:0,Plasmanyl,C16H33O1,true
O-18:0,Plasmanyl,C18H37O1,true
O-20:0,Plasmanyl,C20H41O1,true
t16:0,Phytosphingoid,C13H27O1,true
t18:1,Phytosphingoid,C15H29O1,true
t18:0,Phytosphingoid,C15H31O1,true
t20:0,Phytosphingoid,C17H35O1,true
P-16:0,Plasmenyl,C16H31O1,true
P-18:1,Plasmenyl,C18H33O1,true
P-18:0,Plasmenyl,C18H35O1,true
P-20:0,Plasmenyl,C20H39O1,true
d14:1,Sphingoid,C11H21,true
d14:0,Sphingoid,C11H23,true
d15:1,Sphingoid,C12H23,true
d15:0,Sphingoid,C12H25,true
d16:1,Sphingoid,C13H25,true
d16:0,Sphingoid,C13H27,true
d17:2,Sphingoid,C14H25,true
d17:1,Sphingoid,C14H27,true
d17:0,Sphingoid,C14H29,true
d18:4,Sphingoid,C15H23,true
d18:3,Sphingoid,C15H25,true
d18:2,Sphingoid,C15H27,true
d18:1,Sphingoid,C15H29,true
d18:0,Sphingoid,C15H31,true
d19:0,Sphingoid,C16H33,true
2:0,Alkyl,C2H3O2,false
3:0,Alkyl,C3H5O2,false
4:0,Alkyl,C4H7O2,false
5:0,Alkyl,C5H9O2,false
6:0,Alkyl,C6H11O2,false
7:0,Alkyl,C7H13O2,false
8:0,Alkyl,C8H15O2,false
9:0,Alkyl,C9H17O2,false
10:0,Alkyl,C10H19O2,true
11:0,Alkyl,C11H21O2,true
12:0,Alkyl,C12H23O2,true
13:0,Alkyl,C13H25O2,true
14:1,Alkyl,C14H25O2,true
14:0,Alkyl,C14H27O2,true
15:1,Alkyl,C15H27O2,true
15:0,Alkyl,C15H29O2,true
16:1,Alkyl,C16H29O2,true
16:0,Alkyl,C16H31O2,true
17:2,Alkyl,C17H29O2,true
17:1,Alkyl,C17H31O2,true
17:0,Alkyl,C17H33O2,true
18:4,Alkyl,C18H27O2,true
18:3,Alkyl,C18H29O2,true
18:2,Alkyl,C18H31O2,true
18:1,Alkyl,C18H33O2,true
18:0,Alkyl,C18H35O2,true
19:0,Alkyl,C19H37O2,true
20:5,Alkyl,C20H29O2,true
20:4,Alkyl,C20H31O2,true
20:3,Alkyl,C20H33O2,true
20:3,Alkyl,C20H33O2,true
20:2,Alkyl,C20H35O2,true
20:1,Alkyl,C20H37O2,true
20:0,Alkyl,C20H39O2,true
21:0,Alkyl,C21H41O2,true
22:6,Alkyl,C22H31O2,true
22:5,Alkyl,C22H33O2,true
22:4,Alkyl,C22H35O2,true
22:2,Alkyl,C22H39O2,true
22:1,Alkyl,C22H41O2,true
22:0,Alkyl,C22H43O2,true
23:0,Alkyl,C23H45O2,true
24:4,Alkyl,C24H39O2,true
24:1,Alkyl,C24H45O2,true
24:0,Alkyl,C24H47O2,true
25:0,Alkyl,C25H49O2,true
26:2,Alkyl,C26H47O2,true
26:1,Alkyl,C26H49O2,true
26:0,Alkyl,C26H51O2,true
P-14:0,Plasmenyl,C14H27O1,true
