Name,Base,Formula,Enabled
10:0,Alkyl,C10H19O2,false
12:0,Alkyl,C12H23O2,false
14:0,Alkyl,C14H27O2,false
14:1,Alkyl,C14H25O2,false
15:0,Alkyl,C15H29O2,false
15:1,Alkyl,C15H27O2,false
16:0,Alkyl,C16H31O2,false
16:1,Alkyl,C16H29O2,false
17:0,Alkyl,C17H33O2,false
17:1,Alkyl,C17H31O2,false
17:2,Alkyl,C17H29O2,false
18:0,Alkyl,C18H35O2,false
18:1,Alkyl,C18H33O2,true
18:2,Alkyl,C18H31O2,false
18:3,Alkyl,C18H29O2,false
18:4,Alkyl,C18H27O2,false
19:0,Alkyl,C19H37O2,false
20:0,Alkyl,C20H39O2,false
20:1,Alkyl,C20H37O2,false
20:2,Alkyl,C20H35O2,false
20:3,Alkyl,C20H33O2,false
20:4,Alkyl,C20H31O2,true
20:5,Alkyl,C20H29O2,false
21:0,Alkyl,C21H41O2,false
22:0,Alkyl,C22H43O2,false
22:1,Alkyl,C22H41O2,false
22:2,Alkyl,C22H39O2,false
22:3,Alkyl,C22H37O2,false
22:4,Alkyl,C22H35O2,false
22:5,Alkyl,C22H33O2,false
22:6,Alkyl,C22H31O2,false
23:0,Alkyl,C23H45O2,false
24:0,Alkyl,C24H47O2,false
24:1,Alkyl,C24H45O2,false
25:0,Alkyl,C25H49O2,false
26:0,Alkyl,C26H51O2,false
24:4,Alkyl,C24H39O2,false
26:4,Alkyl,C26H43O2,true
28:4,Alkyl,C28H47O2,true
32:4,Alkyl,C32H55O2,true
34:4,Alkyl,C34H59O2,true
36:4,Alkyl,C36H63O2,true
38:4,Alkyl,C38H67O2,true
24:5,Alkyl,C24H37O2,true
26:5,Alkyl,C26H41O2,true
28:5,Alkyl,C28H45O2,true
30:5,Alkyl,C30H49O2,true
32:5,Alkyl,C32H53O2,true
34:5,Alkyl,C34H57O2,true
36:5,Alkyl,C36H61O2,true
38:5,Alkyl,C38H65O2,true
26:6,Alkyl,C26H39O2,true
28:6,Alkyl,C28H43O2,true
30:6,Alkyl,C30H47O2,true
32:6,Alkyl,C32H51O2,true
34:6,Alkyl,C34H55O2,true
36:6,Alkyl,C36H59O2,true
38:6,Alkyl,C38H63O2,true
38:6,Alkyl,C38H63O2,true
